
thana_Name	Shukhi	Apon	Condom	Inj_Vial	Inj_Siringe	IUD_Normal	IUD_Partum	IUD_Remove	Implanon	Jadel	Implant_Remove	ECP	Misoprostol	MRM_Pack	Inj_mgs4	MNP_Saset	IFA_number	Sanitary_Pad	NSV	Tubectomy_Normal	Tubectomy_Partum
Mirzapur	371289	2371	432523	4612	5052	128	0	0	284	0	4	164	1	0	0	0	0	0	82	563	212
Nagarpur	408004	0	413700	68696	73114	385	4	9	316	0	3	0	706	0	0	0	0	0	360	9	0
Bhuapur	1498023	1330	1403566	72092	18649	640	0	7	380	0	69	458	1519	0	0	0	0	0	495	11	10
Ghatail	2272596	546	3078897	135264	64036	1868	8	0	8	0	0	609	422	0	0	0	0	0	662	220	82
Basail	431389	72	1596171	53095	56743	555	3	28	219	22	29	8	1081	0	0	0	270	0	204	17	4
Tangail Sadar	649008	277	1870505	120825	57507	3160	50	507	7462	186	1876	2117	962	0	0	0	0	0	7130	351	90
Kalihati	1484755	995	2531690	100713	60444	1969	1	84	838	19	63	963	1144	4	0	0	20	0	842	154	22
Modhupur	1935710	1556	1561994	127818	73306	986	0	10	313	36	17	298	644	0	0	0	1000	0	300	5	14
Gopalpur	842039	0	1365938	125205	59151	1114	0	153	437	67	0	60	2738	0	0	0	0	0	209	36	48
Shakhipur	192	0	3396	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	74	3	5
Delduar	1523317	0	3171536	111484	57154	764	0	24	200	0	0	703	0	0	0	0	0	0	1317	32	2
