
thana_Name	Shukhi	Apon	Condom	Inj_Vial	Inj_Siringe	IUD_Normal	IUD_Partum	IUD_Remove	Implanon	Jadel	Implant_Remove	ECP	Misoprostol	MRM_Pack	Inj_mgs4	MNP_Saset	IFA_number	Sanitary_Pad	NSV	Tubectomy_Normal	Tubectomy_Partum
Fenchuganj	3667	0	596	770	0	2	0	0	83	0	0	8	0	0	0	0	0	0	2	21	0
Jakiganj	384897	3	1218397	42576	20918	436	0	6	0	0	0	177	0	0	0	0	0	0	8	10	0
Jaintapur	116142	556	435856	29391	15253	642	1	46	116	0	0	181	1	0	0	0	0	0	48	123	0
Balaganj	338571	900	1170576	34549	21201	915	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0
Golapganj	286249	125	527667	17760	8031	1061	1	13	76	0	0	112	229	0	0	0	0	0	24	78	0
Sylhet Sadar	2223068	7741	3744041	546513	399602	4478	218	365	17300	406	2785	1030	1815	15	0	0	0	257	8406	13786	528
Biani Bazar	174019	4600	814396	13606	5678	195	0	0	0	0	0	80	200	0	0	0	70	0	10	12	0
Kanaighat	327603	234	753048	23253	13946	287	0	42	30	0	0	557	0	0	0	0	9385	8	62	53	2
Biswanath	11702	0	71074	4381	2253	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Companiganj	11100	0	31044	1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	50	0
South Shurma	214891	24257	759079	13769	10923	86	1	4	407	0	102	0	286	0	0	0	0	0	457	461	2
