
thana_Name	Shukhi	Apon	Condom	Inj_Vial	Inj_Siringe	IUD_Normal	IUD_Partum	IUD_Remove	Implanon	Jadel	Implant_Remove	ECP	Misoprostol	MRM_Pack	Inj_mgs4	MNP_Saset	IFA_number	Sanitary_Pad	NSV	Tubectomy_Normal	Tubectomy_Partum
Panchlaish	1213481	2872	5867004	467288	193998	7093	59	560	8751	289	1337	8545	20	0	0	0	0	0	9330	633	620
Rangunia	788793	0	1360870	38117	17542	194	0	18	504	8	17	327	0	0	0	0	0	0	84	150	0
Doublemooring	1787330	0	8440264	686061	305985	4025	159	710	11669	516	3182	4915	0	0	0	0	0	0	11390	1420	948
Fatichhari	496846	256	1366089	76400	34759	156	0	1	48	0	0	752	0	0	0	0	0	0	49	79	0
Hathazari	16026	338	54854	4423	3666	256	0	0	35	0	0	6	0	0	0	0	0	0	251	55	11
Sitakunda	729017	0	1406916	80712	37776	971	1	10	226	0	0	459	283	0	0	0	0	0	113	156	0
Mirsharai	74813	0	85502	4382	4076	0	0	0	0	0	0	0	58	0	0	0	0	0	22	0	0
Rawzan	577333	514	1750192	49201	12510	1116	0	19	2	0	0	814	0	0	0	0	0	0	116	251	0
Sandwip	469443	356	617741	58057	31360	117	0	3	24	0	0	126	612	0	0	0	0	0	20	14	0
Boalkhali	955	26	3320	703	703	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0
Chandlaish	371256	692	336856	31336	16779	514	2	0	195	0	0	149	1510	0	0	0	45	0	234	88	0
Banshkhali	599914	788	884738	82437	44265	183	3	7	80	1	0	22	14	0	0	0	154	0	104	117	0
Satkania	456147	0	480489	51866	22741	282	2	9	428	0	2	165	4	0	0	0	0	0	62	112	0
Anwara	553060	0	436521	37355	17091	172	63	3	317	0	7	245	0	0	0	0	0	0	101	120	0
Patiya	643739	310	467486	50768	25712	397	354	31	2441	0	175	628	70	0	0	0	0	0	76	71	0
Lohagora	354582	60	466084	55910	27506	156	2	4	269	0	0	23	288	0	0	0	0	0	18	53	3
