
thana_Name	Shukhi	Apon	Condom	Inj_Vial	Inj_Siringe	IUD_Normal	IUD_Partum	IUD_Remove	Implanon	Jadel	Implant_Remove	ECP	Misoprostol	MRM_Pack	Inj_mgs4	MNP_Saset	IFA_number	Sanitary_Pad	NSV	Tubectomy_Normal	Tubectomy_Partum
Bochaganj	406547	510	157417	26289	12465	9	0	0	215	0	0	499	0	0	0	0	0	0	144	58	0
Kaharole	11	0	11	11	1	11	1	1	11	0	1	11	94102	0	0	0	0	0	11	12	1
Fulbari	587	0	9961	10	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Dinajpur Sadar	1452439	1352	2366500	386623	218000	4352	60	322	17095	160	3834	9156	97	5	0	0	0	0	10360	2512	577
Hakimpur	1052963	905	369948	37268	21549	164	0	1	512	0	4	220	885	0	0	0	1695	0	109	67	0
Birganj	353642	0	78270	40452	20336	39	0	0	343	0	0	325	0	0	0	0	0	0	53	71	31
Birol	863885	1115	572597	106228	63803	309	0	42	988	0	169	41	0	0	0	0	0	0	309	420	0
Chirir Bandar	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	1	0
Parbatipur	1295048	314	2268573	146381	79884	1635	0	12	4430	0	679	961	100	0	0	0	0	0	129	1275	0
Birampur	21711	594	17031	1901	2054	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0
