
thana_Name	Shukhi	Apon	Condom	Inj_Vial	Inj_Siringe	IUD_Normal	IUD_Partum	IUD_Remove	Implanon	Jadel	Implant_Remove	ECP	Misoprostol	MRM_Pack	Inj_mgs4	MNP_Saset	IFA_number	Sanitary_Pad	NSV	Tubectomy_Normal	Tubectomy_Partum
Adarsho Sadar	967982	1002	4242153	175820	103393	6404	342	437	7336	275	1748	1639	206	38	0	0	0	5	3758	1192	775
Chouddagram	19146	0	31981	8409	0	116	0	0	0	0	0	103	0	0	0	0	0	0	0	4	0
Barura	441548	0	1825401	67279	26769	1605	1	9	46	0	0	413	18	0	0	0	0	0	44	44	0
Laksham	221759	16	979792	95396	28227	2070	0	0	175	10	0	83	0	39	0	0	15	15	18	97	18
Burichong	459288	428	2653099	50056	21972	507	0	9	372	0	0	233	341	0	170	18750	1190	0	141	47	1
Muradnagar	344185	379	1142112	66385	32466	1072	0	8	123	0	0	775	50	0	0	0	0	0	13	50	13
Daudkandi	221222	28	1572179	43165	23566	311	2	7	38	0	0	89	4	0	0	0	0	0	9	30	1
Chandina	170844	0	1724300	86438	46573	497	0	26	7	0	0	283	0	0	0	0	0	0	31	47	1
Nangolkot	249392	259	1551472	98493	32199	882	1	0	248	0	0	222	399	0	0	0	0	0	8	167	1
Meghna	13449	0	13824	629	502	4	0	0	26	0	0	0	0	0	0	0	0	0	0	19	0
Titash	124630	321	982992	25478	15339	182	0	0	26	0	0	327	226	0	0	0	0	0	2	28	12
Comilla Sadar South	70201	380	320608	16469	15585	292	3	4	247	0	0	28	18	0	0	0	0	0	19	9	35
Monohargonj	18836	116	98916	3501	1975	51	0	1	0	0	0	0	16	0	0	0	385	120	1	2	0
