
thana_Name	Shukhi	Apon	Condom	Inj_Vial	Inj_Siringe	IUD_Normal	IUD_Partum	IUD_Remove	Implanon	Jadel	Implant_Remove	ECP	Misoprostol	MRM_Pack	Inj_mgs4	MNP_Saset	IFA_number	Sanitary_Pad	NSV	Tubectomy_Normal	Tubectomy_Partum
Katiadi	1074298	451	2382324	130950	80075	1250	2	183	1024	4	280	509	1423	0	0	0	2393	1120	162	289	24
Bhariab Bazar	1625460	320	2552182	88430	49711	1557	0	94	1886	69	142	210	1111	0	0	0	0	0	82	547	470
Austagram	623685	1072	917012	67039	31750	1078	2	137	322	0	9	173	2426	0	0	0	10535	12	53	492	0
Kishoreganj Sadar	350288	0	1572010	61223	41085	1543	0	58	1460	3	256	170	290	0	0	0	0	0	558	286	479
Hossainpur	888072	138	1252768	67847	37417	1050	0	16	967	0	42	36	372	0	160	0	0	0	117	304	215
Nikli	451791	853	1404758	81390	32554	856	4	597	317	4	154	633	2182	0	0	0	0	0	10	290	2
Pakundia	1081398	207	1142100	71184	43205	877	0	26	608	0	12	88	210	0	0	0	0	0	217	132	46
Itna	867782	152	1092202	37267	23514	1080	0	462	458	7	143	209	590	0	0	0	2668	0	136	181	5
Kuliarchar	930807	437	1428679	66902	38398	1125	0	224	1495	1	0	327	1732	0	0	0	5800	0	197	478	60
Tarail	665157	300	1253198	39544	21393	853	0	269	670	11	93	151	72	0	0	0	0	0	171	210	13
Karimganj	960942	180	1091404	64440	25976	1046	0	141	769	19	40	114	250	0	0	0	0	0	188	493	9
