Data,Organisation unit,Value
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Kurigram District,80.0
MBFFI|Number of pregnant women with APH managed as per guideline,Kurigram District,48.0
MBFFI|No. of  Quality Improvement committee meeting,Kurigram District,55.0
MBFFI|# postpartum mothers received 2nd PNC,Kurigram District,2861.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Kurigram District,54.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Kurigram District,3525.0
MBFFI|# newborns received 4th PNC,Kurigram District,1104.0
MBFFI|# women in labour whose partograph was done,Kurigram District,1302.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Kurigram District,1162.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Kurigram District,3.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Kurigram District,1033.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Kurigram District,774.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Kurigram District,26.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Kurigram District,9027.0
MBFFI|# postpartum mothers received 4th  PNC,Kurigram District,1234.0
MBFFI|Number of  pre term  babies born in facility,Kurigram District,151.0
MBFFI|# premature newborns(inborn )  referred out,Kurigram District,44.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Kurigram District,3103.0
MBFFI|# postpartum newborns  received 2nd PNC,Kurigram District,2382.0
MBFFI|Antibiotics for newborn sepsis (inborn),Kurigram District,108.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Kurigram District,30.0
MBFFI|No. of  MNH work Improvement committee meeting,Kurigram District,30.0
MBFFI|Total newborn sepsis cases in facility,Kurigram District,502.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Kurigram District,4673.0
MBFFI|Number of  full term  babies born in facility,Kurigram District,3381.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Kurigram District,3584.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Kurigram District,3898.0
MBFFI|Number of newborns dried immediately after birth,Kurigram District,3433.0
MBFFI|Number of   delivered newborns in facility given  ENC,Kurigram District,3706.0
MBFFI|# postpartum newborns received 1st PNC,Kurigram District,4008.0
MBFFI|# pregnant women who are poor and received financial support/free services,Kurigram District,373.0
MBFFI|Number of neonatal deaths (inborns),Kurigram District,51.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Kurigram District,296.0
MBFFI|# pregnant women received TT during ANC,Kurigram District,12029.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Kurigram District,811.0
MBFFI|# postpartum mothers received 1st PNC,Kurigram District,4491.0
MBFFI|# newborns received 3rd PNC,Kurigram District,1512.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Kurigram District,366.0
MBFFI|# sick newborns(inborn) referred,Kurigram District,98.0
MBFFI|# of deaths preterm newborns(inborn),Kurigram District,23.0
MBFFI|Number of facility maternal deaths audited,Kurigram District,3.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Kurigram District,84.0
MBFFI|Facility Deliveries done following  EMEN standards,Kurigram District,3559.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Kurigram District,3633.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Kurigram District,11140.0
MBFFI|Number of LBW given KMC,Kurigram District,61.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Kurigram District,212.0
MBFFI|# postpartum mothers received 3rd PNC,Kurigram District,1703.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Kurigram District,785.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Kurigram District,236.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Kurigram District,1728.0
MBFFI|Number of facility neonatal deaths audited,Kurigram District,205.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Kurigram District,118.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Kurigram District,97.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Kurigram District,91.0
MBFFI|Number of facility perinatal deaths audited,Kurigram District,99.0
MBFFI|No. of ongoing PDCA,Kurigram District,38.0
MBFFI|ANC service provided as per EMEN standards,Kurigram District,21069.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Kurigram District,139.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Kurigram District,23589.0
MBFFI|Facility LBWs amongst delivered,Kurigram District,249.0
MBFFI|# of WIT meetings took place(total) in a facility,Kurigram District,1460.0
MBFFI|# delivered newborns for which weight was measured,Kurigram District,3535.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Kurigram District,158.0
