Data,Organisation unit,Value
MBFFI|Number of  full term  babies born in facility,Ulipur Upazila,1040.0
MBFFI|# sick newborns(inborn) referred,Roumari Upazila,45.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Fulbari KG Upazila,4.0
MBFFI|Number of newborns dried immediately after birth,Roumari Upazila,1747.0
MBFFI|ANC service provided as per EMEN standards,Fulbari KG Upazila,3237.0
MBFFI|# premature newborns(inborn )  referred out,Fulbari KG Upazila,3.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Roumari Upazila,61.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Roumari Upazila,1758.0
MBFFI|No. of ongoing PDCA,Roumari Upazila,12.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Ulipur Upazila,9924.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Nageshwari Upazila,2.0
MBFFI|# delivered newborns for which weight was measured,Fulbari KG Upazila,543.0
MBFFI|# postpartum newborns  received 2nd PNC,Nageshwari Upazila,55.0
MBFFI|Facility LBWs amongst delivered,Nageshwari Upazila,9.0
MBFFI|# delivered newborns for which weight was measured,Roumari Upazila,1753.0
MBFFI|Number of neonatal deaths (inborns),Nageshwari Upazila,1.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Nageshwari Upazila,578.0
MBFFI|# newborns received 3rd PNC,Fulbari KG Upazila,134.0
MBFFI|# pregnant women who are poor and received financial support/free services,Nageshwari Upazila,226.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Roumari Upazila,1784.0
MBFFI|# postpartum newborns received 1st PNC,Nageshwari Upazila,515.0
MBFFI|# postpartum mothers received 2nd PNC,Nageshwari Upazila,57.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Nageshwari Upazila,1.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Roumari Upazila,9.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Fulbari KG Upazila,518.0
MBFFI|# women in labour whose partograph was done,Nageshwari Upazila,171.0
MBFFI|# postpartum mothers received 4th  PNC,Roumari Upazila,477.0
MBFFI|# newborns received 4th PNC,Nageshwari Upazila,106.0
MBFFI|# sick newborns(inborn) referred,Fulbari KG Upazila,21.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Fulbari KG Upazila,54.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Fulbari KG Upazila,45.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Fulbari KG Upazila,528.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Fulbari KG Upazila,2.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Nageshwari Upazila,2770.0
MBFFI|# delivered newborns for which weight was measured,Nageshwari Upazila,462.0
MBFFI|Facility Deliveries done following  EMEN standards,Nageshwari Upazila,469.0
MBFFI|No. of ongoing PDCA,Fulbari KG Upazila,2.0
MBFFI|# postpartum newborns  received 2nd PNC,Fulbari KG Upazila,351.0
MBFFI|Antibiotics for newborn sepsis (inborn),Fulbari KG Upazila,4.0
MBFFI|Number of newborns dried immediately after birth,Fulbari KG Upazila,544.0
MBFFI|# newborns received 4th PNC,Roumari Upazila,462.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Nageshwari Upazila,4.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Ulipur Upazila,1.0
MBFFI|Facility LBWs amongst delivered,Fulbari KG Upazila,60.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Ulipur Upazila,456.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Roumari Upazila,85.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Nageshwari Upazila,9563.0
MBFFI|No. of  Quality Improvement committee meeting,Roumari Upazila,20.0
MBFFI|# newborns received 4th PNC,Fulbari KG Upazila,53.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Fulbari KG Upazila,4614.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Nageshwari Upazila,473.0
MBFFI|Number of facility maternal deaths audited,Roumari Upazila,1.0
MBFFI|# postpartum newborns received 1st PNC,Ulipur Upazila,1128.0
MBFFI|# postpartum newborns  received 2nd PNC,Roumari Upazila,860.0
MBFFI|No. of  Quality Improvement committee meeting,Fulbari KG Upazila,22.0
MBFFI|Number of pregnant women with APH managed as per guideline,Ulipur Upazila,2.0
MBFFI|ANC service provided as per EMEN standards,Nageshwari Upazila,7717.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Nageshwari Upazila,475.0
MBFFI|Antibiotics for newborn sepsis (inborn),Roumari Upazila,45.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Roumari Upazila,32.0
MBFFI|No. of ongoing PDCA,Nageshwari Upazila,7.0
MBFFI|# premature newborns(inborn )  referred out,Roumari Upazila,19.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Nageshwari Upazila,5.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Ulipur Upazila,37.0
MBFFI|# postpartum mothers received 3rd PNC,Ulipur Upazila,650.0
MBFFI|Number of facility neonatal deaths audited,Nageshwari Upazila,2.0
MBFFI|# postpartum mothers received 4th  PNC,Fulbari KG Upazila,51.0
MBFFI|# sick newborns(inborn) referred,Nageshwari Upazila,10.0
MBFFI|# newborns received 3rd PNC,Roumari Upazila,630.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Nageshwari Upazila,14.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Roumari Upazila,85.0
MBFFI|# pregnant women received TT during ANC,Roumari Upazila,1323.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Fulbari KG Upazila,1.0
MBFFI|# postpartum mothers received 1st PNC,Roumari Upazila,2454.0
MBFFI|# of WIT meetings took place(total) in a facility,Fulbari KG Upazila,347.0
MBFFI|Number of neonatal deaths (inborns),Roumari Upazila,40.0
MBFFI|Number of  pre term  babies born in facility,Ulipur Upazila,63.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Fulbari KG Upazila,245.0
MBFFI|# pregnant women received TT during ANC,Ulipur Upazila,7273.0
MBFFI|Number of neonatal deaths (inborns),Ulipur Upazila,4.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Fulbari KG Upazila,9.0
MBFFI|Number of  full term  babies born in facility,Nageshwari Upazila,421.0
MBFFI|# postpartum mothers received 1st PNC,Ulipur Upazila,1130.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Ulipur Upazila,94.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Nageshwari Upazila,209.0
MBFFI|Number of newborns dried immediately after birth,Nageshwari Upazila,446.0
MBFFI|# newborns received 4th PNC,Ulipur Upazila,532.0
MBFFI|# of deaths preterm newborns(inborn),Fulbari KG Upazila,1.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Roumari Upazila,226.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Ulipur Upazila,1125.0
MBFFI|Facility LBWs amongst delivered,Roumari Upazila,122.0
MBFFI|No. of  Quality Improvement committee meeting,Nageshwari Upazila,21.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Ulipur Upazila,1078.0
MBFFI|# postpartum mothers received 3rd PNC,Roumari Upazila,643.0
MBFFI|Number of facility neonatal deaths audited,Fulbari KG Upazila,3.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Roumari Upazila,82.0
MBFFI|# postpartum newborns  received 2nd PNC,Ulipur Upazila,2787.0
MBFFI|# postpartum newborns received 1st PNC,Roumari Upazila,2311.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Roumari Upazila,18.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Ulipur Upazila,89.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Ulipur Upazila,61.0
MBFFI|ANC service provided as per EMEN standards,Ulipur Upazila,12480.0
MBFFI|Number of  full term  babies born in facility,Fulbari KG Upazila,527.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Fulbari KG Upazila,523.0
MBFFI|Facility Deliveries done following  EMEN standards,Ulipur Upazila,1124.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Roumari Upazila,46.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Ulipur Upazila,23.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Fulbari KG Upazila,4.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Fulbari KG Upazila,544.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Roumari Upazila,1762.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Roumari Upazila,37.0
MBFFI|ANC service provided as per EMEN standards,Roumari Upazila,3893.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Ulipur Upazila,68.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Roumari Upazila,3.0
MBFFI|# women in labour whose partograph was done,Fulbari KG Upazila,172.0
MBFFI|Facility Deliveries done following  EMEN standards,Roumari Upazila,1756.0
MBFFI|# postpartum mothers received 2nd PNC,Fulbari KG Upazila,354.0
