Data,Organisation unit,Value
MBFFI|Number of newborns dried immediately after birth,"Kurigram District Hospital, Kurigram",2362.0
MBFFI|# pregnant women who are poor and received financial support/free services,"Kurigram District Hospital, Kurigram",152.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,"Kurigram District Hospital, Kurigram",2586.0
MBFFI|Number of neonatal deaths (inborns),"Kurigram District Hospital, Kurigram",85.0
MBFFI|# postpartum mothers received 1st PNC,"Kurigram District Hospital, Kurigram",2958.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC","Kurigram District Hospital, Kurigram",4684.0
MBFFI|Number of LBW given KMC,"Kurigram District Hospital, Kurigram",90.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,"Kurigram District Hospital, Kurigram",2760.0
MBFFI|# postpartum newborns received 1st PNC,"Kurigram District Hospital, Kurigram",2587.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),"Kurigram District Hospital, Kurigram",1386.0
MBFFI|# pregnant women received TT during ANC,"Kurigram District Hospital, Kurigram",6001.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,"Kurigram District Hospital, Kurigram",142.0
MBFFI|Number of  full term  babies born in facility,"Kurigram District Hospital, Kurigram",2516.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,"Kurigram District Hospital, Kurigram",82.0
MBFFI|# delivered newborns for which weight was measured,"Kurigram District Hospital, Kurigram",3001.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,"Kurigram District Hospital, Kurigram",3788.0
MBFFI|# postpartum newborns  received 2nd PNC,"Kurigram District Hospital, Kurigram",1159.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,"Kurigram District Hospital, Kurigram",171.0
MBFFI|Number of  pre term  babies born in facility,"Kurigram District Hospital, Kurigram",438.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,"Kurigram District Hospital, Kurigram",5229.0
MBFFI|# of WIT meetings took place(total) in a facility,"Kurigram District Hospital, Kurigram",662.0
MBFFI|Facility Deliveries done following  EMEN standards,"Kurigram District Hospital, Kurigram",2199.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),"Kurigram District Hospital, Kurigram",1366.0
MBFFI|# newborns received 3rd PNC,"Kurigram District Hospital, Kurigram",263.0
MBFFI|# of deaths preterm newborns(inborn),"Kurigram District Hospital, Kurigram",40.0
MBFFI|No. of women given birth between 24-34 completed gestational week,"Kurigram District Hospital, Kurigram",293.0
MBFFI|No. of ongoing PDCA,"Kurigram District Hospital, Kurigram",18.0
MBFFI|Number of facility perinatal deaths audited,"Kurigram District Hospital, Kurigram",129.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,"Kurigram District Hospital, Kurigram",99.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),"Kurigram District Hospital, Kurigram",41.0
MBFFI|Number of facility neonatal deaths audited,"Kurigram District Hospital, Kurigram",216.0
MBFFI|Number of facility maternal deaths audited,"Kurigram District Hospital, Kurigram",3.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,"Kurigram District Hospital, Kurigram",542.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,"Kurigram District Hospital, Kurigram",73.0
MBFFI|# sick newborns(inborn) referred,"Kurigram District Hospital, Kurigram",79.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,"Kurigram District Hospital, Kurigram",2249.0
MBFFI|Number of pregnant women with APH managed as per guideline,"Kurigram District Hospital, Kurigram",67.0
MBFFI|Number of   delivered newborns in facility given  ENC,"Kurigram District Hospital, Kurigram",2415.0
MBFFI|# postpartum mothers received 2nd PNC,"Kurigram District Hospital, Kurigram",1487.0
MBFFI|No. of  Quality Improvement committee meeting,"Kurigram District Hospital, Kurigram",23.0
MBFFI|# postpartum mothers received 4th  PNC,"Kurigram District Hospital, Kurigram",381.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,"Kurigram District Hospital, Kurigram",19.0
MBFFI|ANC service provided as per EMEN standards,"Kurigram District Hospital, Kurigram",7099.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),"Kurigram District Hospital, Kurigram",141.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,"Kurigram District Hospital, Kurigram",1380.0
MBFFI|Total newborn sepsis cases in facility,"Kurigram District Hospital, Kurigram",937.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,"Kurigram District Hospital, Kurigram",3870.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,"Kurigram District Hospital, Kurigram",163.0
MBFFI|# premature newborns(inborn )  referred out,"Kurigram District Hospital, Kurigram",44.0
MBFFI|Total newborn sepsis cases in facility (inborn ),"Kurigram District Hospital, Kurigram",117.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,"Kurigram District Hospital, Kurigram",176.0
MBFFI|Facility LBWs amongst delivered,"Kurigram District Hospital, Kurigram",213.0
MBFFI|No. of  MNH work Improvement committee meeting,"Kurigram District Hospital, Kurigram",19.0
MBFFI|Antibiotics for newborn sepsis (inborn),"Kurigram District Hospital, Kurigram",117.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,"Kurigram District Hospital, Kurigram",19.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),"Kurigram District Hospital, Kurigram",825.0
MBFFI|# postpartum mothers received 3rd PNC,"Kurigram District Hospital, Kurigram",479.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),"Kurigram District Hospital, Kurigram",255.0
MBFFI|# women in labour whose partograph was done,"Kurigram District Hospital, Kurigram",1022.0
MBFFI|# newborns received 4th PNC,"Kurigram District Hospital, Kurigram",185.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,"Kurigram District Hospital, Kurigram",2566.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,"Kurigram District Hospital, Kurigram",339.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),"Kurigram District Hospital, Kurigram",1819.0
MBFFI|# Pregnant women received folic acid in 1st trimester,"Kurigram District Hospital, Kurigram",4788.0
MBFFI|# of late(8-28 days) newborns deaths out of preterm babies (inborn),"Kurigram District Hospital, Kurigram",18.0
