Data,Organisation unit,Value
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Kurigram District,69.0
MBFFI|Number of pregnant women with APH managed as per guideline,Kurigram District,46.0
MBFFI|No. of  Quality Improvement committee meeting,Kurigram District,50.0
MBFFI|# postpartum mothers received 2nd PNC,Kurigram District,2608.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Kurigram District,50.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Kurigram District,3253.0
MBFFI|# newborns received 4th PNC,Kurigram District,992.0
MBFFI|# women in labour whose partograph was done,Kurigram District,1200.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Kurigram District,1116.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Kurigram District,3.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Kurigram District,987.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Kurigram District,728.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Kurigram District,25.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Kurigram District,7992.0
MBFFI|# postpartum mothers received 4th  PNC,Kurigram District,1154.0
MBFFI|Number of  pre term  babies born in facility,Kurigram District,144.0
MBFFI|# premature newborns(inborn )  referred out,Kurigram District,36.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Kurigram District,2965.0
MBFFI|# postpartum newborns  received 2nd PNC,Kurigram District,2111.0
MBFFI|Antibiotics for newborn sepsis (inborn),Kurigram District,94.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Kurigram District,26.0
MBFFI|No. of  MNH work Improvement committee meeting,Kurigram District,25.0
MBFFI|Total newborn sepsis cases in facility,Kurigram District,454.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Kurigram District,4317.0
MBFFI|Number of  full term  babies born in facility,Kurigram District,3051.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Kurigram District,3259.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Kurigram District,3576.0
MBFFI|Number of newborns dried immediately after birth,Kurigram District,3252.0
MBFFI|Number of   delivered newborns in facility given  ENC,Kurigram District,3363.0
MBFFI|# postpartum newborns received 1st PNC,Kurigram District,3658.0
MBFFI|# pregnant women who are poor and received financial support/free services,Kurigram District,343.0
MBFFI|Number of neonatal deaths (inborns),Kurigram District,49.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Kurigram District,268.0
MBFFI|# pregnant women received TT during ANC,Kurigram District,11055.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Kurigram District,759.0
MBFFI|# postpartum mothers received 1st PNC,Kurigram District,4108.0
MBFFI|# newborns received 3rd PNC,Kurigram District,1378.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Kurigram District,344.0
MBFFI|# sick newborns(inborn) referred,Kurigram District,92.0
MBFFI|# of deaths preterm newborns(inborn),Kurigram District,22.0
MBFFI|Number of facility maternal deaths audited,Kurigram District,2.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Kurigram District,81.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Kurigram District,3286.0
MBFFI|Facility Deliveries done following  EMEN standards,Kurigram District,3287.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Kurigram District,10535.0
MBFFI|Number of LBW given KMC,Kurigram District,56.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Kurigram District,190.0
MBFFI|# postpartum mothers received 3rd PNC,Kurigram District,1512.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Kurigram District,733.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Kurigram District,201.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Kurigram District,1651.0
MBFFI|Number of facility neonatal deaths audited,Kurigram District,201.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Kurigram District,106.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Kurigram District,90.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Kurigram District,89.0
MBFFI|Number of facility perinatal deaths audited,Kurigram District,97.0
MBFFI|No. of ongoing PDCA,Kurigram District,36.0
MBFFI|ANC service provided as per EMEN standards,Kurigram District,19576.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Kurigram District,118.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Kurigram District,22547.0
MBFFI|Facility LBWs amongst delivered,Kurigram District,231.0
MBFFI|# of WIT meetings took place(total) in a facility,Kurigram District,1370.0
MBFFI|# delivered newborns for which weight was measured,Kurigram District,3210.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Kurigram District,128.0
