Data,Organisation unit,Value
MBFFI|Number of  full term  babies born in facility,Ulipur Upazila,523.0
MBFFI|# sick newborns(inborn) referred,Roumari Upazila,33.0
MBFFI|Number of newborns dried immediately after birth,Roumari Upazila,951.0
MBFFI|ANC service provided as per EMEN standards,Fulbari KG Upazila,2628.0
MBFFI|# premature newborns(inborn )  referred out,Fulbari KG Upazila,2.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Roumari Upazila,46.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Roumari Upazila,960.0
MBFFI|No. of ongoing PDCA,Roumari Upazila,8.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Ulipur Upazila,4025.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Nageshwari Upazila,2.0
MBFFI|# delivered newborns for which weight was measured,Fulbari KG Upazila,303.0
MBFFI|# postpartum newborns  received 2nd PNC,Nageshwari Upazila,36.0
MBFFI|Facility LBWs amongst delivered,Nageshwari Upazila,4.0
MBFFI|# delivered newborns for which weight was measured,Roumari Upazila,967.0
MBFFI|Number of neonatal deaths (inborns),Nageshwari Upazila,1.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Nageshwari Upazila,361.0
MBFFI|# newborns received 3rd PNC,Fulbari KG Upazila,120.0
MBFFI|# pregnant women who are poor and received financial support/free services,Nageshwari Upazila,104.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Roumari Upazila,930.0
MBFFI|# postpartum newborns received 1st PNC,Nageshwari Upazila,303.0
MBFFI|# postpartum mothers received 2nd PNC,Nageshwari Upazila,36.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Roumari Upazila,9.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Fulbari KG Upazila,270.0
MBFFI|# women in labour whose partograph was done,Nageshwari Upazila,96.0
MBFFI|# postpartum mothers received 4th  PNC,Roumari Upazila,228.0
MBFFI|# newborns received 4th PNC,Nageshwari Upazila,85.0
MBFFI|# sick newborns(inborn) referred,Fulbari KG Upazila,18.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Fulbari KG Upazila,38.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Fulbari KG Upazila,36.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Fulbari KG Upazila,280.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Fulbari KG Upazila,2.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Nageshwari Upazila,1121.0
MBFFI|# delivered newborns for which weight was measured,Nageshwari Upazila,280.0
MBFFI|Facility Deliveries done following  EMEN standards,Nageshwari Upazila,279.0
MBFFI|# postpartum newborns  received 2nd PNC,Fulbari KG Upazila,288.0
MBFFI|Antibiotics for newborn sepsis (inborn),Fulbari KG Upazila,2.0
MBFFI|Number of newborns dried immediately after birth,Fulbari KG Upazila,305.0
MBFFI|# newborns received 4th PNC,Roumari Upazila,219.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Nageshwari Upazila,1.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Ulipur Upazila,1.0
MBFFI|Facility LBWs amongst delivered,Fulbari KG Upazila,50.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Ulipur Upazila,215.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Roumari Upazila,43.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Nageshwari Upazila,6873.0
MBFFI|No. of  Quality Improvement committee meeting,Roumari Upazila,9.0
MBFFI|# newborns received 4th PNC,Fulbari KG Upazila,48.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Fulbari KG Upazila,3825.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Nageshwari Upazila,283.0
MBFFI|Number of facility maternal deaths audited,Roumari Upazila,1.0
MBFFI|# postpartum newborns received 1st PNC,Ulipur Upazila,576.0
MBFFI|# postpartum newborns  received 2nd PNC,Roumari Upazila,514.0
MBFFI|No. of  Quality Improvement committee meeting,Fulbari KG Upazila,10.0
MBFFI|Number of pregnant women with APH managed as per guideline,Ulipur Upazila,1.0
MBFFI|ANC service provided as per EMEN standards,Nageshwari Upazila,4280.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Nageshwari Upazila,285.0
MBFFI|Antibiotics for newborn sepsis (inborn),Roumari Upazila,31.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Roumari Upazila,16.0
MBFFI|No. of ongoing PDCA,Nageshwari Upazila,6.0
MBFFI|# premature newborns(inborn )  referred out,Roumari Upazila,18.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Nageshwari Upazila,5.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Ulipur Upazila,28.0
MBFFI|# postpartum mothers received 3rd PNC,Ulipur Upazila,650.0
MBFFI|Number of facility neonatal deaths audited,Nageshwari Upazila,1.0
MBFFI|# postpartum mothers received 4th  PNC,Fulbari KG Upazila,48.0
MBFFI|# sick newborns(inborn) referred,Nageshwari Upazila,3.0
MBFFI|# newborns received 3rd PNC,Roumari Upazila,334.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Nageshwari Upazila,7.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Roumari Upazila,43.0
MBFFI|# pregnant women received TT during ANC,Roumari Upazila,832.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Fulbari KG Upazila,1.0
MBFFI|# postpartum mothers received 1st PNC,Roumari Upazila,1340.0
