Data,Organisation unit,Value
MBFFI|No. of  MNH work Improvement committee meeting,Bangladesh,45.0
MBFFI|Number of facility neonatal deaths audited,Bangladesh,276.0
MBFFI|# premature newborns(inborn )  referred out,Bangladesh,74.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Bangladesh,5386.0
MBFFI|Facility Deliveries done following  EMEN standards,Bangladesh,6066.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Bangladesh,1460.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Bangladesh,269.0
MBFFI|Total newborn sepsis cases in facility,Bangladesh,1010.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Bangladesh,219.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Bangladesh,33931.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Bangladesh,8292.0
MBFFI|# of WIT meetings took place(total) in a facility,Bangladesh,2543.0
MBFFI|ANC service provided as per EMEN standards,Bangladesh,34426.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Bangladesh,352.0
MBFFI|# delivered newborns for which weight was measured,Bangladesh,6828.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Bangladesh,548.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Bangladesh,145.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Bangladesh,6082.0
MBFFI|Number of pregnant women with APH managed as per guideline,Bangladesh,78.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Bangladesh,96.0
MBFFI|Number of facility maternal deaths audited,Bangladesh,4.0
MBFFI|# newborns received 3rd PNC,Bangladesh,1822.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Bangladesh,201.0
MBFFI|# of deaths preterm newborns(inborn),Bangladesh,47.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Bangladesh,43.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Bangladesh,406.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Bangladesh,91.0
MBFFI|# sick newborns(inborn) referred,Bangladesh,161.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Bangladesh,664.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Bangladesh,6469.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Bangladesh,490.0
MBFFI|Number of  pre term  babies born in facility,Bangladesh,562.0
MBFFI|# postpartum mothers received 3rd PNC,Bangladesh,1976.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Bangladesh,45.0
MBFFI|Antibiotics for newborn sepsis (inborn),Bangladesh,166.0
MBFFI|# postpartum newborns  received 2nd PNC,Bangladesh,5212.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Bangladesh,3948.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Bangladesh,164.0
MBFFI|No. of ongoing PDCA,Bangladesh,63.0
MBFFI|Number of facility perinatal deaths audited,Bangladesh,167.0
MBFFI|Number of  full term  babies born in facility,Bangladesh,6228.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Bangladesh,6466.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Bangladesh,6611.0
MBFFI|Facility LBWs amongst delivered,Bangladesh,466.0
MBFFI|Number of   delivered newborns in facility given  ENC,Bangladesh,6112.0
MBFFI|# pregnant women who are poor and received financial support/free services,Bangladesh,823.0
MBFFI|Number of LBW given KMC,Bangladesh,166.0
MBFFI|Number of newborns dried immediately after birth,Bangladesh,6222.0
MBFFI|Number of neonatal deaths (inborns),Bangladesh,132.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Bangladesh,157.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Bangladesh,1506.0
MBFFI|# postpartum mothers received 2nd PNC,Bangladesh,5636.0
MBFFI|# postpartum mothers received 1st PNC,Bangladesh,7645.0
MBFFI|No. of  Quality Improvement committee meeting,Bangladesh,109.0
MBFFI|# postpartum newborns received 1st PNC,Bangladesh,7111.0
MBFFI|# pregnant women received TT during ANC,Bangladesh,20378.0
MBFFI|# women in labour whose partograph was done,Bangladesh,2269.0
MBFFI|# newborns received 4th PNC,Bangladesh,1338.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Bangladesh,1467.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Bangladesh,1973.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Bangladesh,4472.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Bangladesh,21812.0
MBFFI|# of late(8-28 days) newborns deaths out of preterm babies (inborn),Bangladesh,23.0
MBFFI|# postpartum mothers received 4th  PNC,Bangladesh,1529.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Bangladesh,12251.0
