Data,Organisation unit,Value
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Kurigram District,145.0
MBFFI|Number of pregnant women with APH managed as per guideline,Kurigram District,78.0
MBFFI|No. of  Quality Improvement committee meeting,Kurigram District,109.0
MBFFI|# postpartum mothers received 2nd PNC,Kurigram District,5636.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Kurigram District,96.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Kurigram District,6082.0
MBFFI|# newborns received 4th PNC,Kurigram District,1338.0
MBFFI|# women in labour whose partograph was done,Kurigram District,2269.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Kurigram District,4472.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Kurigram District,43.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Kurigram District,1973.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Kurigram District,1467.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Kurigram District,91.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Kurigram District,12251.0
MBFFI|# postpartum mothers received 4th  PNC,Kurigram District,1529.0
MBFFI|Number of  pre term  babies born in facility,Kurigram District,562.0
MBFFI|# premature newborns(inborn )  referred out,Kurigram District,74.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Kurigram District,5386.0
MBFFI|# postpartum newborns  received 2nd PNC,Kurigram District,5212.0
MBFFI|Antibiotics for newborn sepsis (inborn),Kurigram District,166.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Kurigram District,45.0
MBFFI|No. of  MNH work Improvement committee meeting,Kurigram District,45.0
MBFFI|Total newborn sepsis cases in facility,Kurigram District,1010.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Kurigram District,8292.0
MBFFI|Number of  full term  babies born in facility,Kurigram District,6228.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Kurigram District,6466.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Kurigram District,6611.0
MBFFI|Number of newborns dried immediately after birth,Kurigram District,6222.0
MBFFI|Number of   delivered newborns in facility given  ENC,Kurigram District,6112.0
MBFFI|# postpartum newborns received 1st PNC,Kurigram District,7111.0
MBFFI|# pregnant women who are poor and received financial support/free services,Kurigram District,823.0
MBFFI|Number of neonatal deaths (inborns),Kurigram District,132.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Kurigram District,548.0
MBFFI|# pregnant women received TT during ANC,Kurigram District,20378.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Kurigram District,1506.0
MBFFI|# postpartum mothers received 1st PNC,Kurigram District,7645.0
MBFFI|# newborns received 3rd PNC,Kurigram District,1822.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Kurigram District,664.0
MBFFI|# sick newborns(inborn) referred,Kurigram District,161.0
MBFFI|# of deaths preterm newborns(inborn),Kurigram District,47.0
MBFFI|Number of facility maternal deaths audited,Kurigram District,4.0
MBFFI|# of late(8-28 days) newborns deaths out of preterm babies (inborn),Kurigram District,23.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Kurigram District,157.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Kurigram District,6469.0
MBFFI|Facility Deliveries done following  EMEN standards,Kurigram District,6066.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Kurigram District,21812.0
MBFFI|Number of LBW given KMC,Kurigram District,166.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Kurigram District,406.0
MBFFI|# postpartum mothers received 3rd PNC,Kurigram District,1976.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Kurigram District,1460.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Kurigram District,490.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Kurigram District,3948.0
MBFFI|Number of facility neonatal deaths audited,Kurigram District,276.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Kurigram District,269.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Kurigram District,164.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Kurigram District,201.0
MBFFI|Number of facility perinatal deaths audited,Kurigram District,167.0
MBFFI|No. of ongoing PDCA,Kurigram District,63.0
MBFFI|ANC service provided as per EMEN standards,Kurigram District,34426.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Kurigram District,219.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Kurigram District,33931.0
MBFFI|Facility LBWs amongst delivered,Kurigram District,466.0
MBFFI|# of WIT meetings took place(total) in a facility,Kurigram District,2543.0
MBFFI|# delivered newborns for which weight was measured,Kurigram District,6828.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Kurigram District,352.0
