Data,Organisation unit,Value
MBFFI|Number of newborns dried immediately after birth,"Kurigram District Hospital, Kurigram",1145.0
MBFFI|# pregnant women who are poor and received financial support/free services,"Kurigram District Hospital, Kurigram",30.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,"Kurigram District Hospital, Kurigram",1199.0
MBFFI|Number of neonatal deaths (inborns),"Kurigram District Hospital, Kurigram",28.0
MBFFI|# postpartum mothers received 1st PNC,"Kurigram District Hospital, Kurigram",1573.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC","Kurigram District Hospital, Kurigram",3328.0
MBFFI|Number of LBW given KMC,"Kurigram District Hospital, Kurigram",24.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,"Kurigram District Hospital, Kurigram",1450.0
MBFFI|# postpartum newborns received 1st PNC,"Kurigram District Hospital, Kurigram",1206.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),"Kurigram District Hospital, Kurigram",688.0
MBFFI|# pregnant women received TT during ANC,"Kurigram District Hospital, Kurigram",3269.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,"Kurigram District Hospital, Kurigram",73.0
MBFFI|Number of  full term  babies born in facility,"Kurigram District Hospital, Kurigram",1040.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,"Kurigram District Hospital, Kurigram",55.0
MBFFI|# delivered newborns for which weight was measured,"Kurigram District Hospital, Kurigram",1088.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,"Kurigram District Hospital, Kurigram",2336.0
MBFFI|# postpartum newborns  received 2nd PNC,"Kurigram District Hospital, Kurigram",498.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,"Kurigram District Hospital, Kurigram",59.0
MBFFI|Number of  pre term  babies born in facility,"Kurigram District Hospital, Kurigram",88.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,"Kurigram District Hospital, Kurigram",2841.0
