Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	196715	2129	198844	268901	34212	36438	329	20	349	51	559	65	624	215	2	264	0	0	0	0	0	226	70	39	109	335
Khulna	93199	286	93485	278729	29744	31410	312	2	314	29	383	41	424	105	13	99	0	0	0	1000	0	124	32	81	113	237
Barisal	33092	307	33399	96229	13306	14410	145	0	145	3	174	1	175	23	0	132	0	0	0	325	0	121	2	0	2	123
Dhaka	341787	5069	346856	611677	68006	70762	1170	28	1198	118	1809	1	1810	350	38	639	105	0	0	98	87	661	50	137	182	843
Chittagong	189324	1554	190878	246315	32378	33019	406	21	427	46	784	28	812	166	47	963	0	0	0	0	0	201	32	107	139	340
Sylhet	23786	1225	25011	20306	8742	9020	172	0	172	21	375	24	399	82	0	0	0	0	0	0	0	113	94	14	108	221
Rangpur	108879	986	109865	117868	24282	24759	205	2	207	62	768	7	775	173	10	133	0	0	0	76	6	66	93	34	126	192
Mymensingh	37025	254	37279	47789	7701	8277	141	5	146	3	365	0	365	17	3	23	0	0	0	0	0	59	1	18	18	77

 
