Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	226310	0	226310	399042	20147	0	264	0	264	0	9	0	9	0	0	0	0	0	0	0	0	350	107	0	107	457
Khulna	183593	0	183593	384203	19676	0	271	0	271	0	14	0	14	0	0	0	0	0	0	0	0	630	123	0	123	753
Barisal	44169	0	44169	84972	9708	0	261	0	261	0	1	0	1	0	0	0	0	0	0	0	0	164	24	0	24	188
Dhaka	442379	0	442379	1063516	52027	0	760	0	760	0	4	0	4	0	0	0	0	0	0	0	0	812	205	0	205	1017
Chittagong	207217	0	207217	660400	35124	0	233	0	233	0	106	0	106	0	0	0	0	0	0	0	0	329	75	0	75	404
Sylhet	25592	0	25592	86869	2147	0	55	0	55	0	12	0	12	0	0	0	0	0	0	0	0	120	174	0	174	294
Rangpur	165415	0	165415	192379	19797	0	139	0	139	0	22	0	22	0	0	0	0	0	0	0	0	258	92	0	92	350
Mymensingh	93141	0	93141	188992	6443	0	84	0	84	0	0	0	0	0	0	0	0	0	0	0	0	235	35	0	35	270

 
