Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	174530	0	174530	592592	30123	32191	286	22	308	52	472	0	472	134	17	173	0	0	0	0	0	437	63	40	103	540
Khulna	189522	0	189522	470402	32858	34338	338	0	338	26	366	0	366	42	1	18	0	0	0	0	0	209	44	51	95	304
Barisal	44502	0	44502	124674	12821	14104	145	1	146	8	127	0	127	28	4	14	0	0	0	0	0	187	6	5	11	198
Dhaka	421692	0	421692	1184676	61845	66980	1109	35	1144	218	1410	0	1410	229	18	1076	0	0	0	0	0	916	80	149	229	1145
Chittagong	188414	0	188414	498969	37370	38635	325	18	343	46	693	0	693	179	74	292	0	0	0	0	0	103	18	44	62	165
Sylhet	41638	0	41638	114644	7454	8336	61	0	61	3	245	0	245	69	0	208	0	0	0	0	0	39	80	0	80	119
Rangpur	183319	0	183319	372454	29296	30560	272	2	274	33	451	0	451	71	48	165	0	0	0	0	0	100	67	24	91	191
Mymensingh	72711	0	72711	203560	8095	8862	115	0	115	18	227	0	227	58	0	10	0	0	0	0	0	243	4	24	28	271

 
