Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	158727	0	158727	479529	25099	26010	188	34	222	63	306	0	306	119	0	0	0	0	0	0	0	432	53	34	87	519
Khulna	171443	0	171443	431219	29740	30764	270	0	270	41	277	0	277	62	2	32	0	0	0	0	0	158	34	44	78	236
Barisal	47674	0	47674	90664	13583	14507	125	8	133	15	124	0	124	54	0	16	0	0	0	0	0	131	2	6	8	139
Dhaka	446823	0	446823	1113016	64667	68625	1133	27	1160	134	1096	0	1096	131	11	860	0	0	0	0	0	687	64	111	175	862
Chittagong	169443	0	169443	509864	38448	39767	318	26	344	26	407	0	407	138	0	156	0	0	0	0	0	105	6	50	56	161
Sylhet	50632	0	50632	110101	7249	8037	65	0	65	5	209	0	209	39	0	124	0	0	0	0	0	67	86	0	86	153
Rangpur	160144	0	160144	266163	27415	28768	198	0	198	51	478	0	478	76	26	0	0	0	0	0	0	238	85	16	101	339
Mymensingh	89111	0	89111	221042	8621	9028	91	0	91	12	117	0	117	49	0	20	0	0	0	0	0	136	4	9	13	149

 
