Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	184979	0	184979	525017	28128	30195	200	13	213	63	401	0	401	147	0	179	0	0	0	0	0	435	57	41	98	533
Khulna	179295	0	179295	441390	30904	32511	249	0	249	42	312	0	312	48	0	30	0	0	0	0	0	214	37	59	96	310
Barisal	47939	0	47939	107533	13188	14391	113	7	120	14	121	0	121	24	0	152	0	0	0	0	0	171	5	6	11	182
Dhaka	441923	0	441923	1124210	60398	66526	1163	64	1227	209	1334	0	1334	195	8	1401	0	0	0	0	0	1057	84	139	223	1280
Chittagong	169878	0	169878	515657	36376	37084	318	11	329	107	544	0	544	234	0	247	0	0	0	0	0	73	28	48	76	149
Sylhet	48002	0	48002	119414	7019	7419	69	0	69	5	184	0	184	26	0	15	0	0	0	0	0	84	114	0	114	198
Rangpur	162322	0	162322	297957	27805	28993	204	1	205	56	486	0	486	137	26	48	0	0	0	0	0	159	75	14	89	248
Mymensingh	67953	0	67953	216614	8413	8838	109	0	109	16	168	0	168	8	0	0	0	0	0	0	0	100	7	19	26	126

 
