Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	174289	0	174289	507319	28615	30704	250	21	271	72	450	0	450	149	0	2	0	0	0	0	0	462	98	23	121	583
Khulna	177151	0	177151	474802	31542	33642	297	0	297	26	335	0	335	37	0	104	0	0	0	0	0	274	49	37	86	360
Barisal	58263	0	58263	99913	12233	13358	175	3	178	9	202	0	202	11	4	60	0	0	0	0	0	166	8	2	10	176
Dhaka	427743	0	427743	1166059	64439	67878	1556	19	1575	155	1146	0	1146	214	48	1004	0	0	0	0	0	1033	74	111	185	1218
Chittagong	178348	0	178348	620613	41877	43105	389	3	392	52	566	0	566	136	0	139	0	0	0	0	0	262	32	50	82	344
Sylhet	43077	0	43077	97482	7219	7699	74	0	74	10	310	0	310	57	0	212	0	0	0	0	0	80	115	0	115	195
Rangpur	174509	0	174509	308336	28859	29920	208	10	218	37	488	0	488	47	48	200	0	0	0	0	0	147	80	7	87	234
Mymensingh	84316	0	84316	211881	8695	9272	109	0	109	7	128	0	128	0	1	14	0	0	0	0	0	152	4	14	18	170

 
