Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	230927	0	230927	352521	27141	0	217	0	217	0	1	0	1	0	0	0	0	0	0	0	0	1056	106	0	106	1162
Khulna	170995	0	170995	311155	29113	0	214	0	214	0	12	0	12	0	28	0	0	0	0	0	0	619	68	0	68	687
Barisal	41708	0	41708	76333	9917	0	57	0	57	0	0	0	0	0	0	0	0	0	0	0	0	240	9	0	9	249
Dhaka	407090	0	407090	816301	59743	0	543	0	543	0	1	0	1	0	72	0	0	0	0	0	0	621	153	0	153	774
Chittagong	199652	0	199652	566536	43253	0	177	0	177	0	4	0	4	0	3	0	0	0	0	0	0	281	33	0	33	314
Sylhet	22982	0	22982	70093	3669	0	16	0	16	0	1	0	1	0	0	0	0	0	0	0	0	178	88	0	88	266
Rangpur	159270	0	159270	202413	25870	0	112	0	112	0	0	0	0	0	109	0	0	0	0	0	0	537	137	0	137	674
Mymensingh	88779	0	88779	180315	8716	0	47	0	47	0	0	0	0	0	0	0	0	0	0	0	0	72	16	0	16	88

 
