Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	185178	0	185178	570332	32495	35261	316	28	344	60	548	0	548	164	0	0	0	0	0	0	0	499	219	11	230	729
Khulna	174069	0	174069	470326	31830	33608	316	8	324	30	402	0	402	39	0	6	0	0	0	0	0	268	84	23	107	375
Barisal	58181	0	58181	128817	13112	14493	164	3	167	7	245	0	245	42	0	0	0	0	0	0	0	198	10	9	19	217
Dhaka	425719	0	425719	1280913	63729	67462	1266	14	1280	125	1366	0	1366	120	5	315	0	0	0	0	0	1073	151	107	258	1331
Chittagong	173999	0	173999	673570	42992	44918	457	6	463	27	475	0	475	109	10	25	0	0	0	0	0	107	17	27	44	151
Sylhet	26567	0	26567	87415	3957	4156	70	0	70	4	227	0	227	71	0	2	0	0	0	0	0	196	78	0	78	274
Rangpur	164337	0	164337	330817	27970	29358	271	0	271	29	394	0	394	66	6	23	0	0	0	0	0	126	122	9	131	257
Mymensingh	83387	0	83387	198861	7812	7825	152	0	152	16	184	0	184	49	4	0	0	0	0	0	0	178	11	9	20	198

 
