Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	188616	0	188616	554140	32999	35359	152	29	181	48	225	0	225	79	25	0	0	0	0	0	0	626	89	13	102	728
Khulna	165928	0	165928	434554	29861	31937	171	0	170	31	159	0	159	34	3	0	0	0	0	0	0	241	46	25	71	312
Barisal	54305	0	54305	101225	13213	14677	76	6	82	4	123	0	123	19	6	0	0	0	0	0	0	104	0	4	4	108
Dhaka	440332	0	440332	1194309	59084	63131	767	4	771	91	502	0	502	51	2	286	0	0	0	0	0	992	74	74	148	1140
Chittagong	176108	0	176108	648863	38038	39658	178	7	178	22	210	0	210	85	0	120	0	0	0	0	0	107	12	31	43	150
Sylhet	32825	0	32825	84437	4939	5121	22	0	22	0	98	0	98	17	0	0	0	0	0	0	0	83	44	0	44	127
Rangpur	164001	0	164001	331773	25907	26843	137	2	139	7	405	0	405	48	25	0	0	0	0	0	0	120	112	4	116	236
Mymensingh	76746	0	76746	190660	7219	7684	50	0	50	13	38	0	38	27	0	0	0	0	0	0	0	148	3	13	16	164

 
