Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	208618	269	208887	645473	31580	33580	440	35	475	84	594	12	606	173	25	103	0	0	0	0	0	270	51	53	104	374
Khulna	180932	169	181101	499371	30753	32472	352	7	359	31	480	48	528	95	29	33	54	0	0	925	41	152	21	85	100	252
Barisal	44002	150	44152	108087	14597	15806	159	1	160	4	103	0	103	12	23	248	0	0	0	7810	0	152	1	7	8	160
Dhaka	508367	1009	509376	1147876	60875	64374	1364	178	1542	194	1805	21	1826	294	13	356	0	0	0	1577	13	566	32	144	165	731
Chittagong	195483	783	196266	618946	35491	36557	557	48	605	57	696	136	832	217	59	261	0	0	0	160	0	154	48	92	129	283
Sylhet	56965	302	57267	146556	10031	10860	155	0	155	5	220	0	220	17	5	10	10	0	0	400	0	88	110	4	114	202
Rangpur	211547	345	211892	364700	23107	24174	372	8	380	59	739	2	741	241	41	356	0	0	0	0	0	124	98	23	121	245
Mymensingh	75762	279	76041	209938	8418	8977	181	20	201	3	334	2	336	7	20	32	0	0	0	0	0	92	0	19	16	108

 
