Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	240180	294	240474	690039	37536	41217	375	28	403	89	267	7	274	221	100	205	0	0	0	0	0	325	57	61	117	442
Khulna	191361	123	191484	510357	33669	35606	388	1	389	60	466	12	478	91	8	158	0	0	0	2560	0	68	28	97	125	193
Barisal	44994	250	45244	126466	15025	16414	215	0	215	10	112	57	169	58	26	312	0	0	2040	7470	0	143	1	6	6	149
Dhaka	472155	1359	473514	1199345	73225	70701	1564	96	1660	219	1565	64	1629	411	37	355	0	0	89	750	0	522	50	99	142	664
Chittagong	192727	797	193524	640357	40458	42067	574	38	612	52	807	59	866	154	0	341	0	170	660	38	28	207	39	76	114	321
Sylhet	51962	648	52610	130759	9605	9903	144	18	162	9	220	11	231	89	0	0	0	0	0	0	0	45	84	27	111	156
Rangpur	221616	467	222083	386660	33799	35212	381	16	397	57	797	6	803	178	2	682	0	0	0	0	0	73	70	49	119	192
Mymensingh	81175	160	81335	210390	9714	10251	201	13	214	2	392	6	398	33	8	271	0	0	0	0	0	91	1	28	29	120

 
