Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	186502	133	186635	608500	32664	35548	401	31	432	78	576	25	601	171	3	23	0	0	0	0	0	535	83	48	131	666
Khulna	203227	42	203269	507378	36221	38164	500	8	508	31	540	16	556	121	4	11	0	0	0	1948	0	202	29	93	122	324
Barisal	37772	16	37788	107284	12960	14219	159	0	159	8	138	3	141	56	0	114	0	0	12420	1800	0	216	3	10	13	229
Dhaka	452771	624	453395	1399706	71564	75695	1572	76	1648	206	1757	48	1805	326	15	424	0	0	0	776	101	876	112	158	255	1131
Chittagong	198532	2293	200825	683313	42480	43620	558	39	597	43	743	26	769	151	2	57	0	0	0	900	0	237	177	54	81	318
Sylhet	49212	0	49212	125663	9997	10837	208	0	208	7	391	0	391	7	0	0	0	0	0	778	0	62	173	0	173	235
Rangpur	206752	166	206918	391297	33580	35035	348	0	348	56	497	0	497	86	2	144	0	0	0	0	0	124	99	45	144	268
Mymensingh	83377	32	83409	213479	9363	9952	225	8	233	2	335	2	337	42	0	5	17	0	0	2580	181	118	7	23	30	148

 
