Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	157719	2225	159944	234316	28979	30817	126	12	138	26	272	51	323	161	1	284	0	0	0	0	0	66	40	28	68	134
Khulna	142269	381	142650	192866	31782	33673	148	0	148	22	186	0	186	38	53	148	0	0	0	0	0	46	17	78	95	141
Barisal	35416	488	35904	54203	15239	16531	97	0	97	3	75	3	78	9	25	897	0	0	0	0	0	85	0	0	0	85
Dhaka	386175	3358	389533	503165	63011	66158	667	40	707	148	1228	25	1253	387	14	525	0	0	0	84	100	356	32	154	186	542
Chittagong	185335	1899	187234	171620	33290	34204	267	40	307	59	486	5	491	192	31	710	0	0	0	0	0	222	4	120	124	346
Sylhet	32733	362	33095	8395	9234	9605	76	4	80	8	159	2	161	82	0	2	0	0	0	0	0	82	57	23	80	162
Rangpur	84814	1259	86073	109540	28582	29448	107	8	115	47	456	0	456	140	2	148	0	0	0	349	0	56	70	58	120	176
Mymensingh	56529	167	56696	49342	6558	7277	23	0	23	9	147	0	147	24	10	114	0	0	0	0	0	10	0	33	31	41

 
