Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	229080	155	229235	747378	37000	39861	514	38	552	61	457	210	667	207	6	202	0	0	0	0	0	520	74	57	131	651
Khulna	196618	40	196658	517379	36964	39905	640	27	667	64	617	21	638	112	16	15	0	0	0	6075	0	159	36	87	123	282
Barisal	38845	90	38935	105521	12598	13938	235	1	236	17	160	38	198	49	3	271	0	0	2020	9280	0	197	7	5	12	209
Dhaka	446302	1899	448201	1286786	67973	71737	2133	162	2295	209	2015	263	2278	274	16	86	0	0	0	1110	1	783	89	179	262	1045
Chittagong	192438	695	193133	632842	41459	42557	853	62	915	62	871	99	970	144	1	251	0	0	0	1150	18	270	25	49	54	324
Sylhet	56629	6	56635	148562	10352	11198	222	0	222	4	383	0	383	0	0	0	0	0	0	952	0	102	67	8	75	177
Rangpur	210915	242	211157	411548	34692	36266	490	0	490	45	593	121	714	106	0	344	0	0	0	0	10	155	70	50	108	263
Mymensingh	85079	405	85484	226237	9753	10415	362	4	366	19	449	1	450	44	16	0	0	0	0	2371	0	88	8	8	16	104

 
