Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	167479	0	167479	510231	27438	29552	200	29	229	81	524	0	524	154	0	16	0	0	0	0	0	495	95	45	140	635
Khulna	177772	0	177772	434420	32468	33960	269	9	278	41	316	0	316	53	0	47	0	0	0	0	0	211	48	45	93	304
Barisal	52045	0	52045	105197	13213	14465	112	10	122	11	152	0	152	61	71	110	0	0	0	0	0	153	2	9	11	164
Dhaka	449650	0	449650	1154692	63061	68131	1218	67	1285	206	1445	0	1445	226	10	930	0	0	0	0	0	1187	110	162	272	1459
Chittagong	182931	0	182931	564318	42657	44258	438	14	452	50	763	0	763	219	0	147	0	0	0	0	0	262	28	70	98	360
Sylhet	47130	0	47130	110374	6833	7453	69	0	69	5	263	0	263	16	0	3	0	0	0	0	0	94	180	0	180	274
Rangpur	156453	0	156453	264160	27354	28408	238	0	238	45	638	0	638	116	42	22	0	0	0	0	0	173	93	24	117	290
Mymensingh	85899	0	85899	214253	8704	9198	132	0	132	14	237	0	237	55	0	0	0	0	0	0	0	148	3	24	27	175

 
