Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	209060	0	209060	76841	27205	0	159	0	159	0	297	0	297	0	1055	0	0	0	0	0	0	256	48	0	48	304
Khulna	161533	0	161533	57507	29861	0	198	0	198	0	460	0	460	0	691	0	0	0	0	0	0	242	108	0	108	350
Barisal	39288	0	39288	21271	10540	0	53	0	53	0	72	0	72	0	287	0	0	0	0	0	0	65	12	0	12	77
Dhaka	316906	0	316906	232677	59768	0	612	0	612	0	535	0	535	0	1407	0	0	0	0	0	0	680	230	0	230	910
Chittagong	171058	0	171058	194164	34667	0	199	0	199	0	160	0	160	0	554	0	0	0	0	0	0	204	77	0	77	281
Sylhet	24958	0	24958	31206	4251	0	30	0	30	0	56	0	56	0	86	0	0	0	0	0	0	36	56	0	56	92
Rangpur	132808	0	132808	30797	21000	0	101	0	101	0	411	0	411	0	829	0	0	0	0	0	0	265	53	0	53	318
Mymensingh	77141	0	77141	21963	8422	0	57	0	57	0	166	0	166	0	228	0	0	0	0	0	0	102	5	0	5	107

 
