Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	188812	0	188812	70187	23603	0	133	0	133	0	208	0	208	0	609	0	0	0	0	0	0	21	28	0	28	49
Khulna	138645	0	138645	48797	23364	0	184	0	184	0	313	0	313	0	642	0	0	0	0	0	0	197	44	0	44	241
Barisal	34730	0	34730	31416	9290	0	33	0	33	0	47	0	47	0	563	0	0	0	0	0	0	39	3	0	3	42
Dhaka	285848	0	285848	276790	51635	0	646	0	646	0	565	0	565	0	1351	0	0	0	0	0	0	656	190	0	190	846
Chittagong	157502	0	157502	287380	30607	0	257	0	257	0	177	0	177	0	492	0	0	0	0	0	0	217	29	0	29	246
Sylhet	22067	0	22067	31588	3027	0	43	0	43	0	71	0	71	0	71	0	0	0	0	0	0	9	34	0	34	43
Rangpur	123812	0	123812	49209	19505	0	133	0	133	0	461	0	461	0	537	0	0	0	0	0	0	123	27	0	27	150
Mymensingh	67018	0	67018	26638	7900	0	176	0	176	0	172	0	172	0	169	0	0	0	0	0	0	159	12	0	12	171

 
