Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
20,15,37,89,SHIKARPUR
20,15,37,95,UTTAR MADARSA
20,15,37,98,CHITTAGANG CNT.
20,15,47,,LOHAGARA
20,15,47,10,AMIRABAD
20,15,47,13,ADHUNAGAR
20,15,47,18,BARAHATIA
20,15,47,25,CHARAMBA
20,15,47,32,CHUNATI
20,15,47,43,KALAUZAN
20,15,47,62,LOHAGARA
20,15,47,73,PADUA
20,15,47,80,PUTIBILA
20,15,53,,MIRSHARAI
20,15,53,22,DHUM
20,15,53,24,DURGAPUR
20,15,53,27,HAITKANDI
20,15,53,28,HINGULI
20,15,53,29,ICHHAKHALI
20,15,53,35,KARERHAT
20,15,53,41,KATACHHARA
20,15,53,47,KHAIYACHHARA
20,15,53,53,MAYANI
20,15,53,59,MIRSHARAI
20,15,53,65,MITHANALA
20,15,53,71,MAGHADIA
20,15,53,77,OSMANPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,15,53,83,SAHERKHALI
20,15,53,89,WAHEDPUR
20,15,53,95,ZORWARGANJ
20,15,61,,PATIYA
20,15,61,12,ASIA
20,15,61,15,BARALIA
20,15,61,18,BARA UTHAN
20,15,61,19,BHATIKHAIN
20,15,61,21,CHANHARA
20,15,61,24,CHAR LAKSHYA
20,15,61,27,CHAR PATHARGHATA
20,15,61,30,DHALGHAT
20,15,61,39,HABILAS DWIP
20,15,61,42,HAIDGAON
20,15,61,52,JANGLUKHAIN
20,15,61,55,JULDHA
20,15,61,58,KACHUAI
20,15,61,64,KASIAIS
20,15,61,67,KELISHAHAR
20,15,61,70,KHARANA
20,15,61,73,KOLAGAON
20,15,61,76,KUSUMPURA
20,15,61,85,SIKALBAHA
20,15,61,88,SOBHANDANDI
20,15,61,91,DAKHIN D.BHURSHI
20,15,61,94,JIRI
20,15,70,,RANGUNIA
20,15,70,15,BETAGI
20,15,70,17,CHANDRAGHONA KADAMTALI
20,15,70,21,RAJANAGAR
20,15,70,25,HOSNABAD
20,15,70,27,ISLAMPUR
20,15,70,30,KODALA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,15,70,32,LALANAGAR
20,15,70,34,MARIAMNAGAR
20,15,70,43,PADUA
20,15,70,51,PARUA
20,15,70,60,POMARA
20,15,70,69,DAKSHIN RAJANAGAR
20,15,70,77,RANGUNIA
20,15,70,86,SARAPBHATA
20,15,70,94,SILOK
20,15,74,,RAOZAN
20,15,74,11,BAGOAN
20,15,74,12,BINAJURI
20,15,74,18,CHIKDAIR
20,15,74,25,DABUA
20,15,74,31,PURBA GUZARA
20,15,74,37,GAHIRA
20,15,74,44,HALADIA
20,15,74,50,KADALPUR
20,15,74,56,NOAJISPUR
20,15,74,63,NOA PARA
20,15,74,69,PAHARTALI
20,15,74,75,RAOZAN
20,15,74,88,URKIRCHAR
20,15,74,94,PASCHIM GUZARA
20,15,78,,SANDWIP
20,15,78,11,AMANULLAH
20,15,78,13,AZIMPUR
20,15,78,20,BAURIA
20,15,78,25,DIGGHAPAR
20,15,78,30,GACHHUA
20,15,78,35,HARAMIA
20,15,78,40,HARISPUR
20,15,78,55,KALAPANIA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,15,78,65,MAGDHARA
20,15,78,70,MAITBHANGA
20,15,78,75,MUSAPUR
20,15,78,85,RAHMATPUR
20,15,78,90,SANTOSHPUR
20,15,78,92,SARIKAIT
20,15,78,96,URIRCHAR
20,15,82,,SATKANIA
20,15,82,12,AMILAIS
20,15,82,14,EOCHIA
20,15,82,21,BAZALIA
20,15,82,29,CHARATI
20,15,82,36,DHEMSA
20,15,82,40,DHARMAPUR
20,15,82,47,KALIAIS
20,15,82,51,KANCHANA
20,15,82,54,KEOCHIA
20,15,82,58,KHAGARIA
20,15,82,65,MADARSA
20,15,82,69,NALUA
20,15,82,76,PURANAGAR
20,15,82,83,SADAHA
20,15,82,87,SATKANIA
20,15,82,91,SONAKANIA
20,15,82,94,PASCHIM DHEMSA
20,15,86,,SITAKUNDA
20,15,86,16,BANSHBARIA
20,15,86,19,BARABKUNDA
20,15,86,28,BARIADYALA
20,15,86,38,BHATIARI
20,15,86,47,KUMIRA
20,15,86,57,MURADPUR
20,15,86,66,SALIMPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,15,86,85,SONAICHHARI
20,15,86,95,SAIDPUR
20,15,86,98,BHATIARI CANTONMENT AREA
20,19,,,COMILLA
20,19,9,,BARURA
20,19,9,11,ADDA
20,19,9,12,ADRA
20,19,9,18,AGANAGAR
20,19,9,25,BHABANIPUR
20,19,9,31,BHAUKSAR
20,19,9,44,GALIMPUR
20,19,9,50,CHITADDA
20,19,9,56,JALAM
20,19,9,63,UTTAR KHOSBAS
20,19,9,69,DAKSHIN KHOSBAS
20,19,9,75,UTTAR PAYALGACHHA
20,19,9,82,LAKSHMIPUR
20,19,9,88,UTTAR SHILMURI
20,19,9,91,SHAKPUR
20,19,9,94,DAKSHIN SHILMURI
20,19,15,,BRAHMAN PARA
20,19,15,18,BRAHMAN PARA
20,19,15,30,DULALPUR
20,19,15,44,CHANDLA
20,19,15,50,SIDLAI
20,19,15,56,MADHABPUR
20,19,15,62,MALAPARA
20,19,15,82,SAHEBABAD
20,19,15,88,SHASHIDAL
20,19,18,,BURICHANG
20,19,18,11,BAKSIMAIL
20,19,18,12,BHARELLA DAKSHIN
20,19,18,15,BHARELLA UTTAR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,19,18,31,BURICHANG
20,19,18,63,MAINAMATI
20,19,18,69,MOKAM
20,19,18,72,PIR JATRAPUR
20,19,18,75,RAJAPUR
20,19,18,94,SHOLANAL
20,19,27,,CHANDINA
20,19,27,13,KERAN KHAL
20,19,27,15,BARERA
20,19,27,20,MAHICHAL
20,19,27,23,BARA KARAI
20,19,27,31,JOYAG
20,19,27,39,BARKAIT
20,19,27,47,ATBAR PUR
20,19,27,55,GALLAI
20,19,27,63,DOLLAI NOWABAB PUR
20,19,27,71,MADHYA
20,19,27,79,MAIJKHAR
20,19,27,87,BATAKASH
20,19,27,94,SUHILPUR
20,19,31,,CHAUDDAGRAM
20,19,31,10,ALKARA
20,19,31,15,BATISHA
20,19,31,19,CHEORA
20,19,31,38,GHOLPASHA
20,19,31,42,GUNABATI
20,19,31,47,JAGANNATH DIGHI
20,19,31,52,KALIKAPUR
20,19,31,57,KANKAPAIT
20,19,31,61,KASHINAGAR
20,19,31,71,MUNSHIRHAT
20,19,31,85,SHUBHAPUR
20,19,31,90,SREEPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,19,31,95,UJIRPUR
20,19,33,,COMILLA SADAR DAKSHIN
20,19,33,12,BAGHMARA DAKSHIN
20,19,33,13,BAGHMARA UTTAR
20,19,33,24,BARA PARA
20,19,33,28,BELGHAR DAKSHIN
20,19,33,29,BELGHAR UTTAR
20,19,33,31,BHOLAIN (DAKSHIN)
20,19,33,33,BHOLAIN (UTTAR)
20,19,33,35,BIJOYPUR
20,19,33,39,CHOUARA
20,19,33,58,GALIARA
20,19,33,73,PURBA JOREKARAN
20,19,33,80,PASCHIM JOREKARAN
20,19,33,83,PERUL (DAKSHIN)
20,19,33,87,PERUL (UTTAR)
20,19,36,,DAUDKANDI
20,19,36,21,DAUDKANDI UTTAR
20,19,36,25,BITESHWAR
20,19,36,30,ELLIOTGANJ UTTAR
20,19,36,34,ELLIOTGANJ DAKSHIN
20,19,36,38,GOALMARI
20,19,36,47,JINGLATALI
20,19,36,51,GAURIPUR
20,19,36,64,MARUKA
20,19,36,73,MOHAMMADPUR PASCHIM
20,19,36,82,DAULATPUR (PURBA PANCHGACHHIA)
20,19,36,84,MOHAMMADPUR PURBA
20,19,36,85,PADUA
20,19,36,86,PANCHGACHHIA PASCHIM
20,19,36,90,BARAPARA
20,19,36,94,SUNDALPUR
20,19,40,,DEBIDWAR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,19,40,10,BARA SHALGHAR
20,19,40,11,ISAB PUR
20,19,40,17,MOHAN PUR
20,19,40,23,BARKAMTA
20,19,40,35,DHAMTI
20,19,40,41,SULTANPUR
20,19,40,47,FATEHABAD
20,19,40,53,UTTAR GUNAIGHAR
20,19,40,59,DAKSHIN GUNAIGHAR
20,19,40,65,JAFARGANJ
20,19,40,71,ELAHABAD
20,19,40,77,RAJAMEHAR
20,19,40,83,BHANI
20,19,40,89,RASULPUR
20,19,40,95,SUBIL
20,19,54,,HOMNA
20,19,54,15,ASADPUR
20,19,54,20,BHASANIA
20,19,54,22,DULAL PUR
20,19,54,25,JOYPUR
20,19,54,28,CHANDER CHAR
20,19,54,47,GHAGUTIA
20,19,54,50,GARMORA
20,19,54,76,MATHABANGA
20,19,54,85,NILAKHI
20,19,67,,COMILLA ADARSHA SADAR
20,19,67,22,AMRATALI
20,19,67,51,DAKSHIN DURGAPUR
20,19,67,65,JAGANNATHPUR
20,19,67,68,KALIR BAZAR
20,19,67,90,PANCHTHUBI
20,19,67,94,UTTAR DURGAPUR
20,19,67,98,COMILLA CANTT
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,19,72,,LAKSAM
20,19,72,17,BAKAI
20,19,72,35,GOBINDAPUR
20,19,72,52,LAKSAM
20,19,72,63,MUDAFARGANJ
20,19,72,77,KANDIRPAR
20,19,72,84,AJGARA
20,19,72,87,UTTARDAH
20,19,74,,MANOHARGANJ
20,19,74,13,BAISHGAON
20,19,74,17,BIPULASAR
20,19,74,31,HASNABAD
20,19,74,42,JHALAM (UTTAR)
20,19,74,45,JHALAM (DAKSHIN)
20,19,74,53,KHILA
20,19,74,59,LAKSHMANPUR
20,19,74,63,MAISATUA
20,19,74,70,NATHER PETUA
20,19,74,82,SARASHPUR
20,19,74,94,UTTAR HAWLA
20,19,75,,MEGHNA
20,19,75,11,BAORKHOLA
20,19,75,12,BARAKANDA
20,19,75,19,CHANDANPUR
20,19,75,21,CHALIBHANGA
20,19,75,43,GOBINDAPUR
20,19,75,53,LUTER CHAR
20,19,75,71,MANIKER CHAR
20,19,75,95,RADHANAGAR
20,19,81,,MURADNAGAR
20,19,81,10,AKUBPUR
20,19,81,11,ANDIKOT
20,19,81,13,PURBA BANGARA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,19,81,18,PASCHIM BANGARA
20,19,81,22,CHAPITALA
20,19,81,27,DARORA
20,19,81,31,CHHALIAKANDI
20,19,81,36,DHAMGHAR
20,19,81,40,JAHAPUR
20,19,81,45,JATRAPUR
20,19,81,49,KAMALLA
20,19,81,54,MURADNAGAR
20,19,81,58,PURBA NABIPUR
20,19,81,63,PASCHIM NABIPUR
20,19,81,67,PAHARPUR
20,19,81,72,BABUTI PARA
20,19,81,76,PURBA PURBADHAIR
20,19,81,81,PASCHIM PURBADHAIR
20,19,81,85,UTTAR RAMCHANDRAPUR
20,19,81,90,DAKSHIN RAMCHANDRAPUR
20,19,81,91,TANKI
20,19,81,94,SREEKAIL
20,19,87,,NANGALKOT
20,19,87,11,ADRA
20,19,87,17,BANGODDA
20,19,87,34,BAKSHAGANJ
20,19,87,43,DHALUA
20,19,87,51,DAULKHAR
20,19,87,57,HESAKHAL
20,19,87,60,JODDA
20,19,87,69,MOKARA
20,19,87,73,MOKRABPUR
20,19,87,80,PERIA
20,19,87,86,ROYKOT
20,19,87,94,SATBARIA
20,19,94,,TITAS
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,19,94,10,BALARAMPUR
20,19,94,17,BITIKANDI
20,19,94,35,JAGATPUR
20,19,94,45,JIARKANDI
20,19,94,62,KALAKANDI
20,19,94,67,KARIKANDI
20,19,94,69,MAJIDPUR
20,19,94,77,NARAYANDIA
20,19,94,85,SATANI
20,22,,,COX'S BAZAR
20,22,16,,CHAKARIA
20,22,16,10,BADARKHALI
20,22,16,12,BAMO BILCHARI
20,22,16,16,BARAITALI
20,22,16,22,BHEOLA MANIK CHAR
20,22,16,27,CHIRINGA
20,22,16,31,DEMUSIA
20,22,16,33,DULAHAZARA
20,22,16,39,PURBA BARABHEOLA
20,22,16,44,FASIAKHALI
20,22,16,50,HARBANG
20,22,16,55,KAKHARA
20,22,16,61,KAIARBIL
20,22,16,67,KHUNTAKHALI
20,22,16,69,KONAKHALI
20,22,16,72,LAKHYARCHAR
20,22,16,80,SAHARBIL
20,22,16,87,SURAJPUR MANIKPUR
20,22,16,94,PASCHIM BARA BHEOLA
20,22,24,,COX'S BAZAR SADAR
20,22,24,20,BHARUAKHALI
20,22,24,22,CHAUFALDANDI
20,22,24,35,IDGAON
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,22,24,38,ISLAMPUR
20,22,24,42,ISLAMABAD
20,22,24,45,JALALABAD
20,22,24,47,JHILWANJA
20,22,24,59,KHURUSHKUL
20,22,24,71,PATALI MACHHUAKHALI
20,22,24,83,POKKHALI
20,22,45,,KUTUBDIA
20,22,45,13,ALI AKBAR DEIL
20,22,45,27,BARAGHOP
20,22,45,40,DAKSHIN DHURUNG
20,22,45,54,KAIYARBIL
20,22,45,67,LEMSIKHALI
20,22,45,81,UTTAR DHURUNG
20,22,49,,MAHESHKHALI
20,22,49,11,BARA MAHESKHALI
20,22,49,18,CHHOTAMOHES KHALI
20,22,49,23,DHALGHATA
20,22,49,47,HOANAK
20,22,49,59,KALARMARCHHARA
20,22,49,62,KUTUBJOM
20,22,49,71,MATARBARI
20,22,49,83,SAFLAPUR
20,22,56,,PEKUA
20,22,56,11,BARA BAKIA
20,22,56,55,UJANTIA
20,22,56,78,MAGNAMA
20,22,56,83,PEKUA
20,22,56,89,RAJAKHALI
20,22,56,93,SHILKHALI
20,22,56,96,TAITONG
20,22,66,,RAMU
20,22,66,13,CHAKMARKUL
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,22,66,15,FATEKHARKUL
20,22,66,19,GARJANIA
20,22,66,28,IDGAR
20,22,66,38,JOARIANALA
20,22,66,47,KACHHAPIA
20,22,66,57,KHUNIAPALONG
20,22,66,66,KAUARKHOP
20,22,66,70,RASHID NAGAR
20,22,66,76,RAJARKUL
20,22,66,85,DAKSHIN MITHACHHARI
20,22,90,,TEKNAF
20,22,90,15,BAHARCHHARA
20,22,90,31,NHILLA
20,22,90,39,ST.MARTIN DWIP
20,22,90,47,SABRANG
20,22,90,63,TEKNAF
20,22,90,79,WHYKONG
20,22,94,,UKHIA
20,22,94,15,HALDIA PALONG
20,22,94,31,JALIA PALONG
20,22,94,47,RAJA PALONG
20,22,94,63,RATNA PALONG
20,22,94,79,PALONG KHALI
20,30,,,FENI
20,30,14,,CHHAGALNAIYA
20,30,14,47,GOPAL
20,30,14,57,MOHAMAYA
20,30,14,76,PATHANNAGAR
20,30,14,85,RADHANAGAR
20,30,14,95,SUBHAPUR
20,30,25,,DAGANBHUIYAN
20,30,25,12,DAGANBHUIYAN
20,30,25,38,JAILASHKARA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,30,25,56,MATHU BHUIYAN
20,30,25,69,PURBA CHANDRAPUR
20,30,25,73,RAJAPUR
20,30,25,77,RAMNAGAR
20,30,25,90,SINDURPUR
20,30,25,94,YAKUBPUR
20,30,29,,FENI SADAR
20,30,29,20,BALIGAON
20,30,29,22,DHALIA
20,30,29,23,DHARMAPUR
20,30,29,25,FARHADNAGAR
20,30,29,30,FAZILPUR
20,30,29,43,KALIDAH
20,30,29,47,KAZIRBAG
20,30,29,51,LEMUA
20,30,29,60,MATABI
20,30,29,64,PANCHGACHHIYA
20,30,29,82,SANUA
20,30,29,86,SHARSHADI
20,30,41,,FULGAZI
20,30,41,13,AMJADHAT
20,30,41,27,ANANDAPUR
20,30,41,54,DARBARPUR
20,30,41,67,FULGAZI
20,30,41,74,G.M.HAT
20,30,41,81,MUNSHIRHAT
20,30,51,,PARSHURAM
20,30,51,23,CHITHALIA
20,30,51,40,BAKSH MOHAMMAD
20,30,51,47,MIRZANAGAR
20,30,94,,SONAGAZI
20,30,94,15,AMIRABAD
20,30,94,19,BAGADANA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,30,94,28,CHAR CHANDIA
20,30,94,38,CHAR DARBESH
20,30,94,47,CHAR MAJLISHPUR
20,30,94,57,MANGALKANDI
20,30,94,66,MATIGANJ
20,30,94,76,NAWABPUR
20,30,94,85,SONAGAZI
20,46,,,KHAGRACHHARI
20,46,43,,DIGHINALA
20,46,43,15,BABUCHHARA
20,46,43,31,BOALKHALI
20,46,43,47,DIGHINALA
20,46,43,63,KABAKHALI
20,46,43,79,MERUNG
20,46,49,,KHAGRACHHARI SADAR
20,46,49,15,BHAIBONCHHARA
20,46,49,25,GOLABARI
20,46,49,47,KAMALCHHARI
20,46,49,63,KHAGRACHHARI
20,46,49,75,PERACHHARA
20,46,61,,LAKSHMICHHARI
20,46,61,23,BARMACHHARI
20,46,61,47,DULYATALI
20,46,61,71,LAKSHMICHHARI
20,46,65,,MAHALCHHARI
20,46,65,15,KAYANGGHAT
20,46,65,31,MAHALCHHARI
20,46,65,47,MASCHHARI
20,46,65,63,MUBACHHARI
20,46,65,79,SINDUKCHARI
20,46,67,,MANIKCHHARI
20,46,67,19,BATNATALI
20,46,67,42,JUGGACHHALA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,46,67,63,MANIKCHHARI
20,46,67,87,TINTAHARI
20,46,70,,MATIRANGA
20,46,70,13,AMTALI
20,46,70,17,BARANAL
20,46,70,23,BELCHHARI
20,46,70,35,GUIMARA
20,46,70,47,GUMTI
20,46,70,59,MATIRANGA
20,46,70,76,TUBALCHHARI
20,46,70,83,TAINDANG
20,46,77,,PANCHHARI
20,46,77,19,CHENGI
20,46,77,38,LATIBAN
20,46,77,57,LOGANG
20,46,77,76,PANCHHARI
20,46,77,89,ULTACHHARI
20,46,80,,RAMGARH
20,46,80,38,HAPCHHARI
20,46,80,57,PATHACHHARA
20,46,80,76,RAMGARH
20,51,,,LAKSHMIPUR
20,51,33,,KAMALNAGAR
20,51,33,47,CHAR FALCON
20,51,33,63,CHAR KADIRA
20,51,33,71,CHAR KALKINI
20,51,33,79,CHAR LAWRENCE
20,51,33,81,CHAR MARTIN
20,51,33,83,HAJIRHAT
20,51,33,87,PATARIR HAT
20,51,33,91,TORABGANG
20,51,33,95,SAHEBERHAT
20,51,43,,LAKSHMIPUR SADAR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,51,43,13,BANGAKHA
20,51,43,14,BASIKPUR
20,51,43,15,BHABANIGANJ
20,51,43,20,CHANDRAGANJ
20,51,43,23,CHARRAMANI MOHAN
20,51,43,25,CHARSAI
20,51,43,30,CHAR RUHITA
20,51,43,35,DALAL BAZAR
20,51,43,40,DATTA PARA
20,51,43,45,DIGHALI
20,51,43,50,HAJIR PARA
20,51,43,55,KUSHAKHALI
20,51,43,60,LAHARKANDI
20,51,43,70,MANDARI
20,51,43,75,UTTAR HAMCHADI
20,51,43,80,PARBATINAGAR
20,51,43,85,SHAK CHAR
20,51,43,87,TIARIGANJ
20,51,43,89,TUM CHAR
20,51,43,90,DAKSHIN HAMCHADI
20,51,43,95,UTTAR JOYPUR
20,51,58,,ROYPUR
20,51,58,11,BAMNI
20,51,58,23,NORTH CHAR ABABIL
20,51,58,28,SOUTH CHAR ABABIL
20,51,58,35,NORTH CHAR BANGSHI
20,51,58,38,SOUTH CHAR BANGSHI
20,51,58,47,CHAR MOHANA
20,51,58,52,CHAR PATA
20,51,58,59,KEROA
20,51,58,71,ROYPUR
20,51,58,83,SONAPUR
20,51,65,,RAMGANJ
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,51,65,13,BHADUR
20,51,65,14,BHATRA
20,51,65,19,BHOLAKOT
20,51,65,23,CHANDIPUR
20,51,65,33,DARBESHPUR
20,51,65,38,ICHHAPUR
20,51,65,42,KANCHANPUR
20,51,65,47,KARPARA
20,51,65,57,LAMCHAR
20,51,65,66,NOAGAON
20,51,73,,RAMGATI
20,51,73,13,BARA KHERI
20,51,73,15,CHAR ABDULLAH
20,51,73,23,CHAR ALEXANDAR
20,51,73,31,CHAR ALGI
20,51,73,39,CHAR BADAM
20,51,73,55,CHAR GAZI
20,51,73,65,CHAR PORAGACHHA
20,51,73,87,CHAR RAMIZ
20,75,,,NOAKHALI
20,75,7,,BEGUMGANJ
20,75,7,10,ALYERAPUR
20,75,7,12,AMANULLAPUR
20,75,7,24,BEGUMGANJ
20,75,7,28,CHHAYANI
20,75,7,38,DURGAPUR
20,75,7,42,EKLASHPUR
20,75,7,45,GOPALPUR
20,75,7,49,NAROTTAMPUR
20,75,7,52,HAJIPUR
20,75,7,56,JIRTALI
20,75,7,63,KADIRPUR
20,75,7,66,KUTUBPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,75,7,70,MIR WARISHPUR
20,75,7,80,RAJGANJ
20,75,7,84,RASULPUR
20,75,7,87,SHARIFPUR
20,75,10,,CHATKHIL
20,75,10,17,BADALKUT
20,75,10,19,HATPUKURIA GHATLABAG
20,75,10,28,KHIL PARA
20,75,10,38,MOHAMMADPUR
20,75,10,47,NAYAKHOLA
20,75,10,57,PANCHGAON
20,75,10,66,PARKOTE
20,75,10,76,RAMNARAYANPUR
20,75,10,85,SAHAPUR
20,75,21,,COMPANIGANJ
20,75,21,10,CHAR ELAHI
20,75,21,11,CHAR FAKIRA
20,75,21,23,CHAR HAZARI
20,75,21,35,CHAR KAKRA
20,75,21,47,CHAR PARBATI
20,75,21,59,MUSAPUR
20,75,21,71,RAMPUR
20,75,21,83,SIRAJPUR
20,75,36,,HATIYA
20,75,36,15,BURIR CHAR
20,75,36,19,CHANDNANDI
20,75,36,28,CHAR ISHWAR
20,75,36,38,CHAR KING
20,75,36,47,HARNI
20,75,36,57,JAHAJMARA
20,75,36,66,NALCHIRA
20,75,36,69,NIJUM DIP
20,75,36,76,SONADIA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,75,36,85,SUKH CHAR
20,75,36,95,TAMARUDDIN
20,75,47,,KABIRHAT
20,75,47,23,BATAIYA
20,75,47,27,CHAP RASHIR HAT
20,75,47,35,DHAN SHALIK
20,75,47,45,DHAN SIRI
20,75,47,55,GHOSHBAGH
20,75,47,70,NAROTTAMPUR
20,75,47,95,SUNDALPUR
20,75,80,,SENBAGH
20,75,80,13,ARJUNTALA
20,75,80,19,BEJOYBAGH
20,75,80,28,CHHATARPAIA
20,75,80,38,DUMURIA
20,75,80,47,KABILPUR
20,75,80,57,KADRA
20,75,80,66,KESHARPAR
20,75,80,76,MOHAMADPUR
20,75,80,85,NABIPUR
20,75,83,,SONAIMURI
20,75,83,13,AMBARNAGAR
20,75,83,15,AMISHA PARA
20,75,83,17,BARAGAON
20,75,83,21,BAZRA
20,75,83,31,CHASHIRHAT
20,75,83,35,DEOTI
20,75,83,59,JAYAG
20,75,83,73,NADANA
20,75,83,77,NATESHWAR
20,75,83,94,SONAPUR
20,75,85,,SUBARNACHAR
20,75,85,29,CHAR AMANULLAH
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,75,85,31,CHAR BATA
20,75,85,33,CHAR CLERK
20,75,85,35,CHAR JABBAR
20,75,85,36,CHAR JUBILLE
20,75,85,37,CHAR WAPDA
20,75,85,43,MOHAMMADPUR
20,75,85,47,PURBA CHAR BATA
20,75,87,,NOAKHALI SADAR
20,75,87,21,ANDERCHAR
20,75,87,23,ASHWADIA
20,75,87,25,BINODPUR
20,75,87,40,CHAR MATUA
20,75,87,45,DADPUR
20,75,87,47,DHARMAPUR
20,75,87,50,EWAZBALIA
20,75,87,60,KADIR HANIF
20,75,87,65,KALADARAF
20,75,87,75,NIAZPUR
20,75,87,80,NOAKHALI
20,75,87,85,NOANNAI
20,75,87,90,PURBA CHAR MATUA
20,84,,,RANGAMATI
20,84,7,,BAGHAICHHARI
20,84,7,10,AMTALI
20,84,7,11,BAGHAI CHHARI
20,84,7,23,BANGALTALI
20,84,7,35,SARBOATALI
20,84,7,47,KEDARMARA
20,84,7,59,MARISHYA
20,84,7,71,RUPAKARI
20,84,7,83,SAJEK
20,84,21,,BARKAL UPAZILA
20,84,21,15,AIMA CHHARA
Unions list of Bangladesh (as on 25-06-2014),,,,,
DIVISION,ZILA,UPAZILA/,UNION,,NAME
,,THANA,,,
20,84,21,31,BARA HARINA,
20,84,21,47,BARKAL,
20,84,21,63,BHUSHAN CHHARA,
20,84,21,79,SHUBLONG,
20,84,25,,KAWKHALI (BETBUNIA),
20,84,25,19,BETBUNIA,
20,84,25,38,FATIK CHHARI,
20,84,25,57,GHAGRA,
20,84,25,76,KALAMPATI,
20,84,29,,BELAI CHHARI,UPAZI
20,84,29,23,BELAI CHHARI,
20,84,29,47,FARUA,
20,84,29,71,KANGARA CHHARI,
20,84,36,,KAPTAI,UPAZILA
20,84,36,19,CHANDRAGHONA,
20,84,36,38,CHITMARAM,
20,84,36,57,KAPTAI,
20,84,36,76,RAIKHALI,
20,84,36,86,WAGGA,
20,84,47,,JURAI CHHARI UPAZIL,
20,84,47,19,BANJUGI CHHARA,
20,84,47,38,DUMDUMYA,
20,84,47,57,JURAI CHHARI,
20,84,47,76,MAIDANG,
20,84,58,,LANGADU,UPAZILA
20,84,58,13,ATARAK CHARA,
20,84,58,27,BHASANYA ADAM,
20,84,58,40,BAGACHATAR,
20,84,58,54,GULSHAKHALI,
20,84,58,60,KALAPAKURJYA,
20,84,58,67,LANGADU,
20,84,58,81,MAYANIMUKH,
20,84,75,,NANIARCHAR,UPAZILA
Unions list of Bangladesh (as on 25-06-2014),,,,,
DIVISION,ZILA,UPAZILA/,UNION,,NAME
,,THANA,,,
20,84,75,19,BURIGHAT,
20,84,75,38,GHILA CHHARI,
20,84,75,57,NANIARCHAR,
20,84,75,76,SABEKHYONG,
20,84,78,,RAJASTHALI,UPAZILA
20,84,78,23,BANGALHALIA,
20,84,78,46,GHILA CHHARI,
20,84,78,71,GAINDA,
20,84,87,,RANGAMATI SADAR,
20,84,87,13,BANDUK BHANGA,
20,84,87,27,BALUKHALI,
20,84,87,40,JIBTALI,
20,84,87,54,KUTUK CHHARI,
20,84,87,67,MAGBAN,
20,84,87,81,SAPCHHARI,
30,,,,DHAKA,
30,26,,,DHAKA,
30,26,4,13,BADDA,
30,26,4,19,BERAID,
30,26,4,82,SATARKUL,
30,26,10,,DAKSHINKHAN,
30,26,10,38,DAKSHINKHAN(PART),
30,26,12,,DEMRA,
30,26,12,65,DEMRA,
