Data,Organisation unit,Value
MBFFI|No. of  MNH work Improvement committee meeting,Bangladesh,25.0
MBFFI|Number of facility neonatal deaths audited,Bangladesh,201.0
MBFFI|# premature newborns(inborn )  referred out,Bangladesh,36.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Bangladesh,2965.0
MBFFI|Facility Deliveries done following  EMEN standards,Bangladesh,3287.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Bangladesh,733.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Bangladesh,106.0
MBFFI|Total newborn sepsis cases in facility,Bangladesh,454.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Bangladesh,118.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Bangladesh,22547.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Bangladesh,4317.0
MBFFI|# of WIT meetings took place(total) in a facility,Bangladesh,1370.0
MBFFI|ANC service provided as per EMEN standards,Bangladesh,19576.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Bangladesh,128.0
MBFFI|# delivered newborns for which weight was measured,Bangladesh,3210.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Bangladesh,268.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Bangladesh,69.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Bangladesh,3253.0
MBFFI|Number of pregnant women with APH managed as per guideline,Bangladesh,46.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Bangladesh,50.0
MBFFI|Number of facility maternal deaths audited,Bangladesh,2.0
MBFFI|# newborns received 3rd PNC,Bangladesh,1378.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Bangladesh,89.0
MBFFI|# of deaths preterm newborns(inborn),Bangladesh,22.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Bangladesh,3.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Bangladesh,190.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Bangladesh,25.0
MBFFI|# sick newborns(inborn) referred,Bangladesh,92.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Bangladesh,344.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Bangladesh,3286.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Bangladesh,201.0
MBFFI|Number of  pre term  babies born in facility,Bangladesh,144.0
MBFFI|# postpartum mothers received 3rd PNC,Bangladesh,1512.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Bangladesh,26.0
MBFFI|Antibiotics for newborn sepsis (inborn),Bangladesh,94.0
MBFFI|# postpartum newborns  received 2nd PNC,Bangladesh,2111.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Bangladesh,1651.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Bangladesh,90.0
MBFFI|No. of ongoing PDCA,Bangladesh,36.0
MBFFI|Number of facility perinatal deaths audited,Bangladesh,97.0
MBFFI|Number of  full term  babies born in facility,Bangladesh,3051.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Bangladesh,3259.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Bangladesh,3576.0
MBFFI|Facility LBWs amongst delivered,Bangladesh,231.0
MBFFI|Number of   delivered newborns in facility given  ENC,Bangladesh,3363.0
MBFFI|# pregnant women who are poor and received financial support/free services,Bangladesh,343.0
MBFFI|Number of LBW given KMC,Bangladesh,56.0
MBFFI|Number of newborns dried immediately after birth,Bangladesh,3252.0
MBFFI|Number of neonatal deaths (inborns),Bangladesh,49.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Bangladesh,81.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Bangladesh,759.0
MBFFI|# postpartum mothers received 2nd PNC,Bangladesh,2608.0
MBFFI|# postpartum mothers received 1st PNC,Bangladesh,4108.0
MBFFI|No. of  Quality Improvement committee meeting,Bangladesh,50.0
MBFFI|# postpartum newborns received 1st PNC,Bangladesh,3658.0
MBFFI|# pregnant women received TT during ANC,Bangladesh,11055.0
MBFFI|# women in labour whose partograph was done,Bangladesh,1200.0
MBFFI|# newborns received 4th PNC,Bangladesh,992.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Bangladesh,728.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Bangladesh,987.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Bangladesh,1116.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Bangladesh,10535.0
MBFFI|# postpartum mothers received 4th  PNC,Bangladesh,1154.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Bangladesh,7992.0
