   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3821177	1648120	213861	510969	90772	66584	84047	315429	399476	2929782	76.6722
Khulna	3311523	1362693	198495	512845	93594	58646	67538	282936	350474	2576747	77.8115
Barisal	1537333	560497	54864	271408	50470	28864	32626	83420	116046	1082149	70.3913
Dhaka	4906907	1994335	325552	533918	143159	70866	41454	371675	413129	3480959	70.9400
Chittagong	4304573	1465696	223020	628433	138941	49579	27863	270581	298444	2804113	65.1427
Sylhet	1361922	472980	101205	162054	57228	17407	23023	68338	91361	902235	66.2472
Rangpur	3255856	1416865	87583	462547	53100	68375	126646	259340	385986	2474456	76.0002
Mymensingh	2140263	958760	69391	222773	50271	36350	46319	126991	173310	1510855	70.5920

 
