   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4099521	1678536	314491	613720	101933	110457	127808	361379	489187	3308324	80.7003
Khulna	3449912	1298396	251548	569526	87101	104557	88973	350747	439720	2750848	79.7368
Barisal	1609605	557741	70975	354150	50048	65840	53526	80665	134191	1232945	76.5992
Dhaka	5377774	2129901	448222	708968	163999	160054	103145	427471	530616	4141760	77.0163
Chittagong	4756130	1718077	313928	822391	163566	122538	68988	336143	405131	3545631	74.5487
Sylhet	1547172	559956	126047	199761	62663	40186	58091	121646	179737	1168350	75.5152
Rangpur	3504485	1397241	127197	620791	62760	111529	202319	271132	473451	2792969	79.6970
Mymensingh	2216676	984105	103840	312111	54884	62095	80536	125475	206011	1723046	77.7311

 
