   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3877408	1664888	227474	552116	98832	61667	91931	327156	419087	3024064	77.9919
Khulna	3347497	1363193	220509	542888	98415	53899	74131	297939	372070	2650974	79.1927
Barisal	1554783	558540	58423	298033	52786	26725	36174	84965	121139	1115646	71.7557
Dhaka	5064483	2049274	358991	590540	160019	69200	47905	381991	429896	3657920	72.2269
Chittagong	4370738	1507682	237897	677275	147556	50064	34315	284022	318337	2938811	67.2383
Sylhet	1384104	488456	105964	172498	58612	16795	29455	76337	105792	948117	68.5004
Rangpur	3305877	1412508	92507	520228	58133	62405	143685	267174	410859	2556640	77.3362
Mymensingh	2161521	972558	76013	246091	52437	34149	53211	128730	181941	1563189	72.3189

 
