   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4082699	1675556	310646	608654	101874	106637	125995	358778	484773	3288140	80.5384
Khulna	3426239	1291317	248146	564930	88048	102265	88895	346231	435126	2729832	79.6743
Barisal	1603156	556108	70865	351734	49869	64236	52345	79686	132031	1224843	76.4020
Dhaka	5352959	2120590	449446	703319	162980	153180	100185	424067	524252	4113767	76.8503
Chittagong	4723711	1707123	311133	817010	162485	117702	67837	333410	401247	3516700	74.4478
Sylhet	1536540	558312	126327	197978	62221	37951	57344	119440	176784	1159573	75.4665
Rangpur	3486146	1396094	126784	613276	62466	106915	200611	268557	469168	2774703	79.5923
Mymensingh	2211713	987026	104543	306245	54901	59204	79363	124634	203997	1715916	77.5831

 
