   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4134479	1686005	326694	622021	103407	117751	129910	370427	500337	3356215	81.1762
Khulna	3474001	1298175	258935	577124	88895	110307	89776	359263	449039	2782475	80.0942
Barisal	1619932	561996	73438	359109	52095	70248	55638	82924	138562	1255448	77.5000
Dhaka	5398168	2125480	453353	718807	170715	172601	110256	439092	549348	4190304	77.6246
Chittagong	4799716	1740022	322071	837731	169981	131199	72369	343104	415473	3616477	75.3477
Sylhet	1570842	570611	128927	206337	65094	45314	60054	127598	187652	1203935	76.6427
Rangpur	3545079	1400773	133508	633937	64181	121256	205833	275374	481207	2834862	79.9661
Mymensingh	2240517	991866	108706	319514	56241	70560	82934	128353	211287	1758174	78.4718

 
