   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4137967	1655427	351681	616905	97701	150065	120653	353715	474368	3346147	80.8645
Khulna	3433444	1271247	274749	570121	81745	131381	84798	331752	416550	2745793	79.9720
Barisal	1619834	573622	75870	348214	50907	83913	55648	80636	136284	1268810	78.3296
Dhaka	5390126	2088686	468245	709603	161067	211070	108641	419840	528481	4167152	77.3108
Chittagong	4940952	1776866	332489	839624	175414	186421	79344	339871	419215	3730029	75.4921
Sylhet	1625187	596873	128057	220536	57339	65794	61655	139190	200845	1269444	78.1106
Rangpur	3549452	1369723	142471	640276	64648	156416	192244	258734	450978	2824512	79.5760
Mymensingh	2230399	982615	108633	315031	53218	100627	77632	117024	194656	1754780	78.6756

 
