   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3800319	1655782	212273	500202	88628	66041	84174	312302	396476	2919402	76.8199
Khulna	3288374	1350609	197324	502570	92781	56808	68093	278730	346823	2546915	77.4521
Barisal	1528891	559016	55228	264173	48834	28683	31500	82887	114387	1070321	70.0064
Dhaka	4989055	2026916	336315	532246	146697	71079	41068	369827	410895	3524148	70.6376
Chittagong	4295071	1468560	222093	611235	137468	47598	27590	269155	296745	2783699	64.8115
Sylhet	1358482	472563	103016	160123	57406	17250	22710	67649	90359	900717	66.3032
Rangpur	3240635	1413243	88228	444764	52190	68576	125524	258675	384199	2451200	75.6395
Mymensingh	2139842	958983	69348	215031	50628	36252	45945	126492	172437	1502679	70.2238

 
