   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3875944	1665047	226504	551447	99005	62561	90764	326769	417533	3022097	77.9706
Khulna	3343186	1360210	213234	539042	98581	53663	73291	296774	370065	2634795	78.8109
Barisal	1551515	558406	57773	298351	51909	27084	35580	84792	120372	1113895	71.7940
Dhaka	5062256	2046320	355545	588724	160507	69442	49589	383328	432917	3653455	72.1705
Chittagong	4366322	1504161	236316	673873	147164	50109	33679	283482	317161	2928784	67.0767
Sylhet	1383791	485666	105339	172349	58936	16937	28731	76022	104753	943980	68.2169
Rangpur	3303099	1414524	91399	518821	57830	63407	139977	267655	407632	2553613	77.3096
Mymensingh	2158591	969522	75199	245103	54190	34466	52846	127583	180429	1558909	72.2188

 
