   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4167147	1667351	359940	615572	102289	168828	121909	361188	483097	3397077	81.5205
Khulna	3453075	1274070	280281	570662	84727	141515	85133	338399	423532	2774787	80.3570
Barisal	1629010	579437	77141	346796	53522	90342	56838	82778	139616	1286854	78.9961
Dhaka	5442205	2101118	472411	723067	168210	233170	115972	431887	547859	4245835	78.0168
Chittagong	5011880	1805952	339172	848038	184414	215582	83212	347425	430637	3823795	76.2946
Sylhet	1640937	607860	129329	223785	57738	74373	62789	144193	206982	1300067	79.2271
Rangpur	3581146	1388282	146307	622961	68676	173350	193907	264575	458482	2858058	79.8085
Mymensingh	2245024	989601	108583	315029	54859	110496	78389	119468	197857	1776425	79.1272

 
