   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3881055	1683487	233674	538435	100645	59560	97327	329239	426566	3042367	78.3902
Khulna	3355933	1370853	223471	540842	99697	51949	76510	303448	379958	2666770	79.4643
Barisal	1556259	561587	60626	292615	51673	27014	37334	85447	122781	1116296	71.7294
Dhaka	5025501	2052046	358251	579554	159899	67127	50541	387457	437998	3654875	72.7266
Chittagong	4381220	1522721	242489	683704	149862	50438	36674	288129	324803	2974017	67.8810
Sylhet	1387206	491574	107460	172889	59098	17096	31769	78946	110715	958832	69.1197
Rangpur	3320140	1432516	96138	496953	59755	59747	152512	270618	423130	2568239	77.3533
Mymensingh	2166949	988843	78806	233555	53845	33045	56721	129871	186592	1574686	72.6683

 
