   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3830353	1651474	214735	515097	92153	66453	84165	316338	400503	2940415	76.7662
Khulna	3316247	1355766	198279	518056	93613	57035	68207	284334	352541	2575290	77.6568
Barisal	1536954	557943	55289	275902	49949	28828	32149	83281	115430	1083341	70.4862
Dhaka	5028895	2032037	340167	554372	147802	89105	41927	372389	414316	3577799	71.1448
Chittagong	4318763	1468705	223268	630506	139188	50191	28026	271265	299291	2811149	65.0915
Sylhet	1336395	467151	98405	159428	56246	16736	22953	67581	90534	888500	66.4848
Rangpur	3273137	1415686	88993	472973	53422	67176	127347	260918	388265	2486515	75.9673
Mymensingh	2158076	968736	69145	226725	50299	36626	46755	127349	174104	1525635	70.6942

 
