   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4118742	1646591	344723	617628	95605	140348	119975	349176	469151	3314046	80.4626
Khulna	3419241	1271379	271766	568068	80988	126516	85065	327877	412942	2731659	79.8908
Barisal	1614551	571672	76158	348577	49980	79437	55081	79481	134562	1260386	78.0642
Dhaka	5361416	2078864	465458	700350	158104	197899	105012	413283	518295	4118970	76.8262
Chittagong	4916520	1766216	331509	837249	171746	171795	77649	336806	414455	3692970	75.1135
Sylhet	1611676	589920	127046	217119	57910	62394	61098	137153	198251	1252640	77.7228
Rangpur	3532233	1366401	139224	638401	62706	148450	191258	255837	447095	2802277	79.3344
Mymensingh	2220418	978298	108704	313546	52388	92979	77006	116271	193277	1739192	78.3272

 
