   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3756261	1658393	213065	437923	81736	48945	79802	300995	380797	2820859	75.0975
Khulna	3260073	1369048	194431	445999	86036	47651	60934	263557	324491	2467656	75.6933
Barisal	1515896	567853	54485	218991	47553	26131	28733	81217	109950	1024963	67.6143
Dhaka	4932708	2009755	327445	457169	131160	54830	34495	357741	392236	3372595	68.3721
Chittagong	4224003	1402760	211548	544417	129086	40214	23586	255574	279160	2607185	61.7231
Sylhet	1303013	437558	98336	138327	51369	14183	18352	58661	77013	816786	62.6844
Rangpur	2641434	1142728	72731	301565	35268	39882	109138	224495	333633	1925807	72.9076
Mymensingh	2119874	929305	67476	182043	45766	27874	41776	126406	168182	1420646	67.0156

 
