   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4127937	1660908	326312	622216	100541	132792	126162	364117	490279	3333048	80.7437
Khulna	3424184	1273456	256473	569236	86287	121838	88019	347275	435294	2742584	80.0945
Barisal	1558310	545330	72462	347253	49593	72941	54512	78507	133019	1220598	78.3283
Dhaka	5377158	2075674	445077	709033	167483	192136	115425	431834	547259	4136662	76.9303
Chittagong	4882590	1771676	330373	854846	177201	154290	76954	346200	423154	3711540	76.0158
Sylhet	1591742	580753	126053	217491	62495	55404	62112	134879	196991	1239187	77.8510
Rangpur	3533572	1371280	134034	631488	62699	139627	199918	266170	466088	2805216	79.3875
Mymensingh	2247174	988408	106979	320294	55306	86993	82486	125129	207615	1765595	78.5696

 
