   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4054883	1673859	301763	599841	100301	100230	123751	350419	474170	3250164	80.1543
Khulna	3408662	1289646	244688	557403	86409	96430	86994	338256	425250	2699826	79.2049
Barisal	1596106	552061	69190	345895	47598	60087	50143	77758	127901	1202732	75.3541
Dhaka	5314384	2099945	443179	686322	156152	139709	92368	412482	504850	4030157	75.8349
Chittagong	4687180	1682424	302511	800210	157944	110633	64500	325350	389850	3443572	73.4679
Sylhet	1521617	553238	125121	193736	60842	34980	54547	114531	169078	1136995	74.7228
Rangpur	3461283	1392992	123532	598584	59556	99582	192394	262381	454775	2729021	78.8442
Mymensingh	2200876	982472	103295	297903	53355	55627	76294	122162	198456	1691108	76.8379

 
