   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4188441	1694098	328862	634278	105514	132230	131954	382071	514025	3409007	81.3908
Khulna	3490374	1300016	257304	582701	91025	123180	91387	370760	462147	2816373	80.6897
Barisal	1632657	571474	75936	365077	54879	76475	57771	85668	143439	1287280	78.8457
Dhaka	5446993	2128749	454520	728897	176543	194129	119616	454685	574301	4257139	78.1558
Chittagong	4861568	1775752	331444	860139	179105	148824	77026	352423	429449	3724713	76.6155
Sylhet	1602178	585558	128543	218878	64875	53117	62551	135462	198013	1248984	77.9554
Rangpur	3591695	1399187	137113	642320	66066	139062	210784	281299	492083	2875831	80.0689
Mymensingh	2260734	996863	108480	325689	58010	85358	85565	131139	216704	1791104	79.2267

 
