   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4054217	1702617	286143	603010	105029	87536	121672	354943	476615	3260950	80.4335
Khulna	3399753	1321386	237557	562989	92258	87928	89879	342327	432206	2734324	80.4271
Barisal	1589009	554187	68138	348708	49533	55229	48597	80584	129181	1204976	75.8319
Dhaka	5250522	2147115	424090	699134	169061	122558	85812	420615	506427	4068385	77.4853
Chittagong	4588255	1684796	296502	801159	159912	99126	58278	323040	381318	3422813	74.5995
Sylhet	1481743	554999	128255	196282	61436	30231	50434	107006	157440	1128643	76.1700
Rangpur	3442039	1429593	117270	581787	60001	82683	192990	273842	466832	2738166	79.5507
Mymensingh	2197922	1004784	101041	298628	56198	48561	75193	127168	202361	1711573	77.8723

 
