   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4099256	1638310	337196	614902	93441	130540	119132	342735	461867	3276256	79.9232
Khulna	3408403	1269863	267592	562137	80016	119231	84540	324064	408604	2707443	79.4344
Barisal	1608697	569062	75798	347238	47871	72226	53515	77456	130971	1243166	77.2778
Dhaka	5328839	2045682	449674	686192	151291	183568	107945	404865	512810	4029217	75.6115
Chittagong	4892765	1751298	326145	833696	167101	153660	75452	334125	409577	3641477	74.4257
Sylhet	1602932	580229	125983	213616	59160	56441	59908	133124	193032	1228461	76.6384
Rangpur	3507287	1358484	135184	630524	58413	137985	187963	250619	438582	2759172	78.6697
Mymensingh	2211784	969875	106485	308737	50053	85044	76588	115411	191999	1712193	77.4123

 
