   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4119091	1682629	321831	620014	102493	113376	128751	366091	494842	3335185	80.9690
Khulna	3462709	1296894	253979	574429	87977	106816	89314	355473	444787	2764882	79.8474
Barisal	1614061	558513	71725	357467	51013	67494	54421	81638	136059	1242271	76.9656
Dhaka	5374362	2121774	450172	713353	166789	165200	106648	432680	539328	4156616	77.3416
Chittagong	4777126	1729806	318336	830350	166300	126129	70458	339218	409676	3580597	74.9530
Sylhet	1559080	565202	126917	202648	63630	42573	59352	124719	184071	1185041	76.0090
Rangpur	3529762	1402166	131486	629328	63429	115119	203294	272866	476160	2817688	79.8266
Mymensingh	2224014	986896	105757	316363	55561	65139	81590	126730	208320	1738036	78.1486

 
