   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4140525	1656635	351997	618521	98252	151492	120743	354537	475280	3352177	80.9602
Khulna	3435087	1270818	275289	570842	82064	132233	84665	332240	416905	2748151	80.0024
Barisal	1621150	573977	76108	348246	51198	84728	55635	81042	136677	1270934	78.3971
Dhaka	5395987	2090098	468172	710167	161609	212946	109499	420869	530368	4173360	77.3419
Chittagong	4945188	1779438	332896	840403	176494	189182	79635	340629	420264	3738677	75.6023
Sylhet	1626963	598055	128200	221086	57252	66633	61767	139841	201608	1272834	78.2337
Rangpur	3552263	1371623	142800	639055	65251	157819	192356	259301	451657	2828205	79.6170
Mymensingh	2232073	983163	108459	315334	53419	101310	77683	117329	195012	1756697	78.7025

 
