   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4040647	1672508	294823	592358	99080	95791	122541	345470	468011	3222571	79.7538
Khulna	3404113	1291924	240256	549987	84778	93030	86252	333993	420245	2680220	78.7348
Barisal	1595937	550977	68337	340340	46067	57846	49194	77506	126700	1190267	74.5811
Dhaka	5289936	2094954	436345	677871	154987	132240	88822	406879	495701	3992098	75.4659
Chittagong	4657311	1671873	297835	788095	154934	106672	62533	321566	384099	3403508	73.0788
Sylhet	1511928	548282	124386	190563	59873	33145	52817	111026	163843	1120092	74.0837
Rangpur	3456793	1392506	121560	587245	56659	93493	190612	261871	452483	2703946	78.2212
Mymensingh	2182783	979179	102073	291522	53550	53577	75980	122329	198309	1678210	76.8840

 
