   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3770341	1656979	204442	467136	84425	58591	81599	305993	387592	2859165	75.8331
Khulna	3272273	1363558	191295	467501	86697	51681	62796	269385	332181	2492913	76.1829
Barisal	1522618	567473	53291	236961	49307	26851	29711	81850	111561	1045444	68.6610
Dhaka	4954749	2016356	322699	483124	139178	61631	37200	361428	398628	3421616	69.0573
Chittagong	4257076	1447885	205916	563363	129543	42113	25205	259033	284238	2673058	62.7909
Sylhet	1346981	458722	96724	148083	53780	15629	20179	63046	83225	856163	63.5616
Rangpur	3233847	1419840	84442	387015	47530	60320	126400	255777	382177	2381324	73.6375
Mymensingh	2126922	956279	64532	191708	47290	32303	43992	127063	171055	1463167	68.7927

 
