   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4162949	1687183	330119	626242	103864	124267	130821	375109	505930	3377605	81.1349
Khulna	3470902	1292582	253782	577745	89861	116243	90610	364259	454869	2785082	80.2409
Barisal	1627934	564115	73445	360865	52810	72526	56779	84322	141101	1264862	77.6974
Dhaka	5413890	2120825	450112	718310	171804	183083	113846	445315	559161	4203295	77.6391
Chittagong	4827266	1752526	325026	844991	173147	137666	73964	346528	420492	3653848	75.6919
Sylhet	1583470	575202	129436	209967	66275	48713	61121	130202	191323	1220916	77.1038
Rangpur	3564483	1398083	133622	637389	64679	129836	207551	277961	485512	2849121	79.9308
Mymensingh	2249909	993776	107181	321608	56468	77452	84208	129503	213711	1770196	78.6786

 
