   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4040993	1706385	287436	600470	102455	78770	117887	347994	465881	3241397	80.2129
Khulna	3411632	1342704	232245	563010	91581	80587	86856	334019	420875	2731002	80.0497
Barisal	1581806	553485	67600	343626	48178	51222	46931	79756	126687	1190798	75.2809
Dhaka	5215163	2103954	424879	686557	161956	110698	79876	411678	491554	3979598	76.3082
Chittagong	4553656	1673708	294015	796608	156855	91878	55229	319095	374324	3387388	74.3883
Sylhet	1461277	550723	126827	193833	59592	27788	48469	102566	151035	1109798	75.9471
Rangpur	3421744	1433803	116164	573962	55829	71514	185726	270752	456478	2707750	79.1336
Mymensingh	2183967	1009410	100112	294651	54182	44982	72322	115911	188233	1691570	77.4540

 
