   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4176647	1668666	360538	614121	103417	176258	122055	363279	485334	3408334	81.6046
Khulna	3460279	1272100	281989	571707	85573	147128	85117	340656	425773	2784270	80.4637
Barisal	1632119	582381	77411	346017	53659	92005	56941	83240	140181	1291654	79.1397
Dhaka	5454904	2102684	473707	727162	170436	240979	117510	435418	552928	4267896	78.2396
Chittagong	5027982	1811247	338021	848865	185417	224706	84029	348899	432928	3841184	76.3961
Sylhet	1646652	609763	127741	224373	57786	77953	62923	145319	208242	1305858	79.3038
Rangpur	3590716	1387996	145559	622855	69552	180921	194847	266401	461248	2868131	79.8763
Mymensingh	2250224	989093	109039	316098	55627	114971	78443	120209	198652	1783480	79.2579

 
