   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3783718	1660948	205946	473120	85008	60095	82173	304109	386282	2871399	75.8883
Khulna	3276844	1362023	190293	473956	87308	53177	63223	270108	333331	2500088	76.2956
Barisal	1523771	567796	53749	245254	48881	27198	29738	82125	111863	1054741	69.2191
Dhaka	4965861	2020216	325055	495270	137578	63164	37956	362363	400319	3441602	69.3052
Chittagong	4260595	1449723	208194	571583	129403	42755	25609	262220	287829	2689487	63.1247
Sylhet	1348430	459426	97161	149603	54320	15914	20617	63846	84463	860887	63.8437
Rangpur	3216450	1420263	84522	390059	47757	61712	122363	254859	377222	2381535	74.0423
Mymensingh	2131190	953468	65210	199485	47063	32829	43876	126705	170581	1468636	68.9115

 
