   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4176769	1690977	329956	631549	105219	128235	131380	377967	509347	3395283	81.2897
Khulna	3480422	1296903	256972	581684	90676	120113	90899	367122	458021	2804369	80.5755
Barisal	1630493	568933	75424	363502	54189	74204	57175	84941	142116	1278368	78.4038
Dhaka	5431310	2126251	453788	726132	175818	188516	116526	449083	565609	4236114	77.9943
Chittagong	4842956	1766176	330430	853804	176768	142472	75315	348888	424203	3693853	76.2727
Sylhet	1591018	579730	130209	216005	66244	50983	61621	131844	193465	1236636	77.7261
Rangpur	3576751	1396192	135922	640187	66405	136049	209107	279619	488726	2863481	80.0582
Mymensingh	2255211	995661	108487	324173	57451	80634	84637	130040	214677	1781083	78.9763

 
