   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3942293	1688421	260327	561313	93322	47468	97683	315879	413562	3064413	77.7317
Khulna	3344339	1352741	222429	531340	84251	39117	74259	298243	372502	2602380	77.8145
Barisal	1545856	548287	62570	314454	41786	27806	36563	73000	109563	1104466	71.4469
Dhaka	5076371	2072990	382868	617805	136467	53898	53527	372161	425688	3689716	72.6841
Chittagong	4464489	1584618	263824	718864	140641	60742	40706	288957	329663	3098352	69.3999
Sylhet	1416467	526662	121417	180664	56732	18737	34433	82690	117123	1021335	72.1044
Rangpur	3334328	1435466	103563	511993	50027	47520	152785	252820	405605	2554174	76.6024
Mymensingh	2138402	1002715	87115	245497	44407	26079	55976	113809	169785	1575598	73.6811

 
