   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3980601	1702706	274345	586280	98650	58709	104779	328998	433777	3154467	79.2460
Khulna	3373835	1352319	228513	550791	90020	60313	79610	313572	393182	2675138	79.2907
Barisal	1567099	551443	65623	333579	45559	40591	39938	75543	115481	1152276	73.5292
Dhaka	5138220	2112645	405120	658712	149404	81353	63543	388346	451889	3859123	75.1062
Chittagong	4517477	1642854	284130	765454	149414	75353	44982	301379	346361	3263566	72.2431
Sylhet	1436104	539899	124712	189083	58128	22875	37814	89784	127598	1062295	73.9706
Rangpur	3370874	1445334	111989	544357	53277	55479	162888	259919	422807	2633243	78.1175
Mymensingh	2160976	1012114	97000	272012	51679	38199	62843	119420	182263	1653267	76.5056

 
