   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4047476	1696149	282678	604567	104915	89392	123040	356447	479487	3257188	80.4745
Khulna	3403645	1321412	238963	564005	92788	89052	91457	343987	435444	2741664	80.5508
Barisal	1592406	554154	68514	349564	49658	56379	49567	81145	130712	1208981	75.9217
Dhaka	5268837	2153336	429234	701218	169629	125252	88051	423490	511541	4090210	77.6302
Chittagong	4601021	1688306	296151	803362	160007	100458	59408	325669	385077	3433361	74.6217
Sylhet	1488490	557241	128499	197842	61033	30987	51390	108138	159528	1135130	76.2605
Rangpur	3450843	1426122	119351	588355	58487	83906	194496	275631	470127	2746348	79.5848
Mymensingh	2200308	1005396	101629	297674	55928	49533	76564	127752	204316	1714476	77.9198

 
