   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4187386	1670833	360872	617071	103473	177811	122066	364424	486490	3416550	81.5915
Khulna	3463795	1272302	282694	572790	85115	147745	85418	341046	426464	2787110	80.4641
Barisal	1633641	584196	77088	346243	53174	91815	57040	82954	139994	1292510	79.1184
Dhaka	5463464	2103983	473645	728081	170568	241990	118236	437003	555239	4273506	78.2197
Chittagong	5035945	1815723	337057	849360	185197	227021	84028	349820	433848	3848206	76.4148
Sylhet	1649289	611891	127019	224635	57673	78954	62944	145745	208689	1308861	79.3591
Rangpur	3602962	1389544	146218	626715	69568	182324	195244	267217	462461	2876830	79.8462
Mymensingh	2252059	989807	108686	316069	55515	115489	78630	120547	199177	1784743	79.2494

 
